date,stock_id,TaiwanStockPrice_volume,TaiwanStockPrice_turnover,TaiwanStockPrice_open,TaiwanStockPrice_high,TaiwanStockPrice_low,TaiwanStockPrice_close,TaiwanStockPrice_spread,TaiwanStockPrice_transactions,TaiwanStockInstitutionalInvestorsBuySell_buy,TaiwanStockInstitutionalInvestorsBuySell_name,TaiwanStockInstitutionalInvestorsBuySell_sell,TaiwanStockInstitutionalInvestorsBuySell_foreign,TaiwanStockInstitutionalInvestorsBuySell_investment_trust,TaiwanStockInstitutionalInvestorsBuySell_dealer,TaiwanStockInstitutionalInvestorsBuySell_dealer_self,TaiwanStockInstitutionalInvestorsBuySell_dealer_hedging
2024-12-31,8932,513232,47038713,91.3,93.2,90.3,92.8,1.6,474,0,Investment_Trust,0,,,,,
2025-01-02,8932,419681,38848409,93.2,93.7,91.6,92.8,0.0,760,146741,Foreign_Investor,285000,,,,,
2025-01-02,8932,419681,38848409,93.2,93.7,91.6,92.8,0.0,760,0,Foreign_Dealer_Self,0,,,,,
2025-01-02,8932,419681,38848409,93.2,93.7,91.6,92.8,0.0,760,0,Investment_Trust,0,,,,,
2025-01-02,8932,419681,38848409,93.2,93.7,91.6,92.8,0.0,760,0,Dealer_self,0,,,,,
2025-01-02,8932,419681,38848409,93.2,93.7,91.6,92.8,0.0,760,54000,Dealer_Hedging,10000,,,,,
2025-01-03,8932,652464,61373814,92.8,94.9,92.8,94.5,1.7,783,44396,Dealer_Hedging,9570,,,,,
2025-01-03,8932,652464,61373814,92.8,94.9,92.8,94.5,1.7,783,7000,Dealer_self,78,,,,,
2025-01-03,8932,652464,61373814,92.8,94.9,92.8,94.5,1.7,783,0,Investment_Trust,0,,,,,
2025-01-03,8932,652464,61373814,92.8,94.9,92.8,94.5,1.7,783,519966,Foreign_Investor,149000,,,,,
2025-01-03,8932,652464,61373814,92.8,94.9,92.8,94.5,1.7,783,0,Foreign_Dealer_Self,0,,,,,
2025-01-06,8932,433595,41310644,94.9,95.9,94.9,95.2,0.7,337,314000,Foreign_Investor,62000,,,,,
2025-01-06,8932,433595,41310644,94.9,95.9,94.9,95.2,0.7,337,0,Foreign_Dealer_Self,0,,,,,
2025-01-06,8932,433595,41310644,94.9,95.9,94.9,95.2,0.7,337,0,Investment_Trust,0,,,,,
2025-01-06,8932,433595,41310644,94.9,95.9,94.9,95.2,0.7,337,0,Dealer_self,0,,,,,
2025-01-06,8932,433595,41310644,94.9,95.9,94.9,95.2,0.7,337,19000,Dealer_Hedging,4000,,,,,
2025-01-07,8932,264443,25072633,96.2,96.5,93.2,94.8,-0.4,276,2153,Dealer_Hedging,4000,,,,,
2025-01-07,8932,264443,25072633,96.2,96.5,93.2,94.8,-0.4,276,0,Dealer_self,0,,,,,
2025-01-07,8932,264443,25072633,96.2,96.5,93.2,94.8,-0.4,276,114190,Foreign_Investor,90000,,,,,
2025-01-07,8932,264443,25072633,96.2,96.5,93.2,94.8,-0.4,276,0,Foreign_Dealer_Self,0,,,,,
2025-01-07,8932,264443,25072633,96.2,96.5,93.2,94.8,-0.4,276,0,Investment_Trust,0,,,,,
2025-01-08,8932,200278,18951069,94.7,95.2,94.0,95.0,0.2,412,66339,Foreign_Investor,34002,,,,,
2025-01-08,8932,200278,18951069,94.7,95.2,94.0,95.0,0.2,412,0,Foreign_Dealer_Self,0,,,,,
2025-01-08,8932,200278,18951069,94.7,95.2,94.0,95.0,0.2,412,0,Investment_Trust,0,,,,,
2025-01-08,8932,200278,18951069,94.7,95.2,94.0,95.0,0.2,412,0,Dealer_self,0,,,,,
2025-01-08,8932,200278,18951069,94.7,95.2,94.0,95.0,0.2,412,2013,Dealer_Hedging,1000,,,,,
2025-01-09,8932,357061,33869734,95.2,96.4,93.7,94.2,-0.8,602,116666,Foreign_Investor,209104,,,,,
2025-01-09,8932,357061,33869734,95.2,96.4,93.7,94.2,-0.8,602,0,Foreign_Dealer_Self,0,,,,,
2025-01-09,8932,357061,33869734,95.2,96.4,93.7,94.2,-0.8,602,0,Investment_Trust,0,,,,,
2025-01-09,8932,357061,33869734,95.2,96.4,93.7,94.2,-0.8,602,0,Dealer_self,0,,,,,
2025-01-09,8932,357061,33869734,95.2,96.4,93.7,94.2,-0.8,602,52002,Dealer_Hedging,1555,,,,,
2025-01-10,8932,828596,79910106,94.5,97.6,94.5,96.9,2.7,563,0,Dealer_self,0,,,,,
2025-01-10,8932,828596,79910106,94.5,97.6,94.5,96.9,2.7,563,56237,Dealer_Hedging,19064,,,,,
2025-01-10,8932,828596,79910106,94.5,97.6,94.5,96.9,2.7,563,0,Investment_Trust,0,,,,,
2025-01-10,8932,828596,79910106,94.5,97.6,94.5,96.9,2.7,563,0,Foreign_Dealer_Self,0,,,,,
2025-01-10,8932,828596,79910106,94.5,97.6,94.5,96.9,2.7,563,415000,Foreign_Investor,34104,,,,,
2025-01-13,8932,394718,38168297,97.2,98.6,95.8,96.1,-0.8,723,138000,Foreign_Investor,126000,,,,,
2025-01-13,8932,394718,38168297,97.2,98.6,95.8,96.1,-0.8,723,0,Foreign_Dealer_Self,0,,,,,
2025-01-13,8932,394718,38168297,97.2,98.6,95.8,96.1,-0.8,723,0,Investment_Trust,0,,,,,
2025-01-13,8932,394718,38168297,97.2,98.6,95.8,96.1,-0.8,723,0,Dealer_self,0,,,,,
2025-01-13,8932,394718,38168297,97.2,98.6,95.8,96.1,-0.8,723,8804,Dealer_Hedging,11000,,,,,
2025-01-14,8932,426611,41427776,96.2,98.0,96.2,97.2,1.1,557,5472,Dealer_Hedging,0,,,,,
2025-01-14,8932,426611,41427776,96.2,98.0,96.2,97.2,1.1,557,0,Dealer_self,0,,,,,
2025-01-14,8932,426611,41427776,96.2,98.0,96.2,97.2,1.1,557,0,Investment_Trust,0,,,,,
2025-01-14,8932,426611,41427776,96.2,98.0,96.2,97.2,1.1,557,0,Foreign_Dealer_Self,0,,,,,
2025-01-14,8932,426611,41427776,96.2,98.0,96.2,97.2,1.1,557,256000,Foreign_Investor,43000,,,,,
2025-01-15,8932,269728,26301088,97.6,98.3,96.6,97.0,-0.2,838,143102,Foreign_Investor,48000,,,,,
