date,stock_id,open,high,low,close,volume,turnover,inst_foreign,inst_investment_trust,inst_dealer_self,inst_dealer_hedging
2025-05-08,2379,504.0,511.0,503.0,509.0,1479742,750928825,0.0,0.0,0.0,0.0
2025-05-08,2383,647.0,665.0,625.0,662.0,13932287,9065987055,0.0,0.0,0.0,0.0
2025-05-08,2454,1285.0,1305.0,1275.0,1290.0,6304556,8138686536,0.0,0.0,0.0,0.0
2025-05-08,3035,177.5,182.0,177.0,181.5,6305846,1132859939,0.0,0.0,0.0,0.0
2025-05-08,3293,848.0,860.0,847.0,857.0,1489381,1273681652,0.0,0.0,0.0,0.0
2025-05-08,3535,33.15,35.05,33.15,34.3,2263078,77379466,0.0,0.0,0.0,0.0
2025-05-08,6231,239.5,242.0,237.0,239.5,479551,114714784,0.0,0.0,0.0,0.0
2025-05-08,6643,487.0,498.0,487.0,493.0,862194,425201526,0.0,0.0,0.0,0.0
2025-05-08,8358,46.7,48.45,46.7,48.2,1301538,62508189,0.0,0.0,0.0,0.0
2025-05-08,8932,94.7,99.9,94.7,99.5,1347410,132591638,0.0,0.0,0.0,0.0
2025-05-09,1519,462.0,466.0,451.0,463.0,3398396,1561057092,0.0,0.0,0.0,0.0
2025-05-09,2308,377.5,378.0,370.5,374.0,9848583,3683508681,0.0,0.0,0.0,0.0
2025-05-09,2344,15.8,15.85,15.4,15.55,18271060,284607408,0.0,0.0,0.0,0.0
2025-05-09,2379,511.0,517.0,508.0,513.0,2064892,1060567734,0.0,0.0,0.0,0.0
2025-05-09,2383,667.0,690.0,659.0,679.0,9145587,6159402287,0.0,0.0,0.0,0.0
2025-05-09,2454,1295.0,1325.0,1280.0,1325.0,6740443,8816540890,0.0,0.0,0.0,0.0
2025-05-09,3035,183.5,184.0,178.5,182.0,5589962,1014709049,0.0,0.0,0.0,0.0
2025-05-09,3293,879.0,879.0,847.0,867.0,3222365,2785694110,0.0,0.0,0.0,0.0
2025-05-09,3535,34.65,34.65,33.55,34.4,701294,23930769,0.0,0.0,0.0,0.0
2025-05-09,6231,237.0,237.5,228.5,231.5,921361,213551109,0.0,0.0,0.0,0.0
2025-05-09,6643,505.0,506.0,480.0,496.0,1476123,727950807,0.0,0.0,0.0,0.0
2025-05-09,8358,48.6,48.8,48.2,48.5,1126798,54626486,0.0,0.0,0.0,0.0
2025-05-09,8932,99.7,99.9,97.2,97.5,700898,68901199,0.0,0.0,0.0,0.0
2025-05-12,1519,468.0,497.0,468.0,486.5,7009227,3427562257,0.0,0.0,0.0,0.0
2025-05-12,2308,375.0,375.5,368.0,370.0,4737810,1763231361,0.0,0.0,0.0,0.0
2025-05-12,2344,15.8,16.65,15.75,16.55,76003127,1233043832,0.0,0.0,0.0,0.0
2025-05-12,2379,514.0,517.0,509.0,510.0,1235167,632127894,0.0,0.0,0.0,0.0
2025-05-12,2383,681.0,686.0,659.0,675.0,5579741,3747233892,0.0,0.0,0.0,0.0
2025-05-12,2454,1320.0,1325.0,1305.0,1315.0,5353789,7050780685,0.0,0.0,0.0,0.0
2025-05-12,3035,183.5,186.0,182.0,185.0,6920055,1276449385,0.0,0.0,0.0,0.0
2025-05-12,3293,875.0,885.0,860.0,863.0,2322893,2018481092,0.0,0.0,0.0,0.0
2025-05-12,3535,34.4,35.1,34.1,34.25,990509,34267780,0.0,0.0,0.0,0.0
2025-05-12,6231,234.0,249.5,232.5,247.0,976245,237955142,0.0,0.0,0.0,0.0
2025-05-12,6643,500.0,519.0,498.0,518.0,838976,430208722,0.0,0.0,0.0,0.0
2025-05-12,8358,50.4,52.0,49.6,52.0,3219511,164494217,0.0,0.0,0.0,0.0
2025-05-12,8932,97.5,100.5,97.5,99.1,970616,96636863,0.0,0.0,0.0,0.0
2025-05-13,1519,499.0,505.0,475.5,478.5,6358496,3099501082,0.0,0.0,0.0,0.0
2025-05-13,2308,376.0,378.0,367.5,368.0,7787017,2883771625,0.0,0.0,0.0,0.0
2025-05-13,2344,17.1,18.2,16.8,17.9,206408288,3641098587,0.0,0.0,0.0,0.0
2025-05-13,2379,523.0,533.0,518.0,520.0,3351847,1753881817,0.0,0.0,0.0,0.0
2025-05-13,2383,689.0,690.0,665.0,674.0,5695722,3852718531,0.0,0.0,0.0,0.0
2025-05-13,2454,1350.0,1365.0,1345.0,1355.0,10308570,13956016690,0.0,0.0,0.0,0.0
2025-05-13,3035,190.5,191.0,185.5,186.0,6994569,1316634259,0.0,0.0,0.0,0.0
2025-05-13,3293,878.0,902.0,873.0,888.0,3612917,3204527516,0.0,0.0,0.0,0.0
2025-05-13,3535,35.0,35.95,34.4,34.65,1166047,40913294,0.0,0.0,0.0,0.0
2025-05-13,6231,254.5,258.5,246.5,246.5,829880,208993937,0.0,0.0,0.0,0.0
2025-05-13,6643,539.0,540.0,527.0,532.0,755492,402973679,0.0,0.0,0.0,0.0
2025-05-13,8358,52.8,54.3,52.5,53.9,4630965,247975670,0.0,0.0,0.0,0.0
2025-05-13,8932,100.0,101.5,97.7,98.9,1031324,102198884,0.0,0.0,0.0,0.0
2025-05-14,1519,485.0,488.0,480.0,487.0,2691661,1303884758,0.0,0.0,0.0,0.0
2025-05-14,2308,369.5,375.0,369.5,372.0,10240371,3806432257,0.0,0.0,0.0,0.0
2025-05-14,2344,17.85,18.35,17.7,18.15,151885981,2746777191,0.0,0.0,0.0,0.0
