date,stock_id,volume,turnover,open,high,low,close,TaiwanStockPrice_spread,TaiwanStockPrice_transactions,inst_foreign,inst_investment_trust,inst_dealer_self,inst_dealer_hedging
2024-09-25,2383,4528976,2126625321,467.0,475.0,463.5,473.0,11.5,4754,0.0,0.0,0.0,0.0
2024-09-25,2454,11480089,13988663410,1220.0,1230.0,1205.0,1225.0,30.0,14305,0.0,0.0,0.0,0.0
2024-09-25,3035,6296908,1687193355,263.0,272.0,263.0,266.0,8.0,7404,0.0,0.0,0.0,0.0
2024-09-25,3293,5296000,4704822000,856.0,915.0,853.0,900.0,50.0,4401,0.0,0.0,0.0,0.0
2024-09-25,3535,2044260,125517730,61.6,62.2,60.6,61.3,0.8,1880,0.0,0.0,0.0,0.0
2024-09-25,6231,218000,114800000,539.0,539.0,522.0,522.0,-8.0,199,0.0,0.0,0.0,0.0
2024-09-25,6643,1068000,841421000,800.0,816.0,756.0,798.0,0.0,711,0.0,0.0,0.0,0.0
2024-09-25,8358,1919000,120050000,62.0,63.5,62.0,62.2,0.7,1131,0.0,0.0,0.0,0.0
2024-09-25,8932,688000,59960100,87.9,88.6,86.0,86.2,-1.3,453,0.0,0.0,0.0,0.0
2024-09-26,1519,9562397,6452480544,665.0,683.0,662.0,678.0,30.0,12111,0.0,0.0,0.0,0.0
2024-09-26,2308,7688086,3052648330,394.0,399.0,394.0,396.0,-2.0,7114,0.0,0.0,0.0,0.0
2024-09-26,2344,48246898,1028130007,21.5,21.75,20.9,20.9,0.15,16479,0.0,0.0,0.0,0.0
2024-09-26,2379,3079207,1516494785,487.0,495.5,487.0,491.0,1.0,4088,0.0,0.0,0.0,0.0
2024-09-26,2383,5372639,2524162040,475.0,478.0,465.5,466.0,-7.0,5451,0.0,0.0,0.0,0.0
2024-09-26,2454,9967330,12562372950,1235.0,1280.0,1230.0,1270.0,45.0,21463,0.0,0.0,0.0,0.0
2024-09-26,3035,3097388,826036171,270.0,270.0,264.0,264.5,-1.5,4477,0.0,0.0,0.0,0.0
2024-09-26,3293,8091000,7754895000,908.0,990.0,908.0,990.0,90.0,6737,0.0,0.0,0.0,0.0
2024-09-26,3535,6491307,412125971,62.4,65.1,62.1,63.8,2.5,5000,0.0,0.0,0.0,0.0
2024-09-26,6231,315000,163768000,527.0,530.0,512.0,515.0,-7.0,282,0.0,0.0,0.0,0.0
2024-09-26,6643,374000,289721000,798.0,798.0,761.0,775.0,-23.0,291,0.0,0.0,0.0,0.0
2024-09-26,8358,828000,51369800,62.6,62.7,61.7,61.7,-0.5,538,0.0,0.0,0.0,0.0
2024-09-26,8932,386000,33336300,86.4,87.0,85.7,86.9,0.7,245,0.0,0.0,0.0,0.0
2024-09-27,1519,8186247,5459181176,684.0,685.0,651.0,660.0,-18.0,15397,0.0,0.0,0.0,0.0
2024-09-27,2308,10223004,4098055175,398.0,404.0,397.5,400.0,4.0,8959,0.0,0.0,0.0,0.0
