date,stock_id,AccountsPayable,AmortizationExpense,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashFlowsProvidedFromFinancingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,DecreaseInDepositDeposit,DecreaseInShortTermLoans,DeferredCredit,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,InterestExpense,InterestIncome,InventoryIncrease,NetCashInflowFromOperatingActivities,NetIncomeBeforeTax,OtherInvestingActivities,OtherNonCurrentLiabilitiesDecrease,OtherNonCurrentLiabilitiesIncrease,PayTheInterest,ProceedsFromLongTermDebt,PropertyAndPlantAndEquipment,ReceivableIncrease,RedemptionOfBonds,RentalPrincipalRepayments,RepaymentOfLongTermDebt,TotalIncomeLossItems,UnrealizedGain
2025-06-30,2301,40508000.0,100003000.0,100683607000.0,92230500000.0,-8453107000.0,4136890000.0,-1484803000.0,-3196780000.0,4757530000.0,199680000.0,,,1732408000.0,8931378000.0,707701000.0,-1433391000.0,-1339125000.0,4136890000.0,8931378000.0,,,,-732573000.0,,-2951552000.0,1207330000.0,,-279872000.0,,592220000.0,
2025-06-30,2317,-55947232000.0,1823470000.0,937108093000.0,870519926000.0,-66588167000.0,21875585000.0,39477225000.0,-39355799000.0,54560209000.0,,0.0,,45182226000.0,124269767000.0,14915262000.0,-15782270000.0,-186729018000.0,21875585000.0,124269767000.0,353560000.0,-983776000.0,,-14021922000.0,26573000.0,-77150396000.0,131809382000.0,-7500000000.0,-3541067000.0,-5506620000.0,37108753000.0,
2025-06-30,2331,309940000.0,25798000.0,4407477000.0,3699190000.0,-708287000.0,255541000.0,-320462000.0,-305879000.0,233541000.0,2256000.0,-1365985000.0,,232879000.0,857165000.0,24650000.0,-87193000.0,-14493000.0,255541000.0,857165000.0,,,,-24930000.0,,-65715000.0,-506494000.0,,-51858000.0,,-473716000.0,
2025-06-30,2344,727468000.0,182872000.0,14100396000.0,20317197000.0,6216801000.0,2830076000.0,7899268000.0,-3869305000.0,3369085000.0,,0.0,,6282354000.0,-2964419000.0,674987000.0,-203939000.0,2572248000.0,2830076000.0,-2964419000.0,25000000.0,,,-600493000.0,7086990000.0,-2993636000.0,-1884775000.0,,-153927000.0,-4983349000.0,6662657000.0,
2025-06-30,2356,-12564080000.0,469435000.0,30933801000.0,40970875000.0,10037074000.0,-6512639000.0,17300441000.0,1941661000.0,-4276325000.0,,,,1514141000.0,5064376000.0,3109477000.0,-1539063000.0,-19201117000.0,-6512639000.0,5064376000.0,,-53862000.0,0.0,-2988006000.0,0.0,-3209879000.0,24529134000.0,,-137694000.0,-287522000.0,5627042000.0,
2025-06-30,2375,162533000.0,10988000.0,771192000.0,973120000.0,201928000.0,550181000.0,-991286000.0,959144000.0,565805000.0,,,,199136000.0,276758000.0,24662000.0,-76538000.0,100650000.0,550181000.0,276758000.0,-59000.0,,,-26039000.0,,-114908000.0,-120996000.0,,-18656000.0,-24490000.0,112214000.0,
2025-06-30,2431,-41421000.0,393000.0,736149000.0,632440000.0,-103709000.0,-9469000.0,-10168000.0,-34796000.0,-17957000.0,,,,16498000.0,-34009000.0,278000.0,-10089000.0,7462000.0,-9469000.0,-34009000.0,,,,-36000.0,,-1098000.0,17783000.0,,,,4568000.0,
2025-06-30,2492,141530000.0,70593000.0,7943241000.0,7144407000.0,-798834000.0,2500600000.0,836216000.0,-3390285000.0,2602047000.0,8901000.0,,,2214875000.0,730298000.0,273125000.0,-757224000.0,494322000.0,2500600000.0,730298000.0,,,,-262910000.0,0.0,-490351000.0,-478191000.0,0.0,-85496000.0,-1835161000.0,2295606000.0,
2025-06-30,2753,-21639000.0,2897000.0,962149000.0,1432607000.0,470458000.0,672817000.0,194202000.0,-321389000.0,762941000.0,12054000.0,0.0,,384072000.0,468112000.0,24863000.0,-5053000.0,-111479000.0,672817000.0,468112000.0,,,,-5687000.0,15930000.0,-383480000.0,17573000.0,,-276609000.0,-2307000.0,423861000.0,
2025-06-30,2812,,66470000.0,47339574000.0,49765179000.0,2425605000.0,8871893000.0,-859952000.0,-5427501000.0,3123224000.0,,,,216454000.0,5083286000.0,7114130000.0,-13499263000.0,,8871893000.0,5083286000.0,,,,-6807178000.0,,,,,-92330000.0,,-1051539000.0,
2025-06-30,2832,,3586000.0,3778443000.0,4584543000.0,806100000.0,788697000.0,-14167000.0,31570000.0,685840000.0,,,,25958000.0,710301000.0,638000.0,-143536000.0,,788697000.0,710301000.0,,,,,,,,,-13757000.0,,172889000.0,
2025-06-30,2855,2328395000.0,54679000.0,7720139000.0,8252543000.0,532404000.0,27219513000.0,-26864608000.0,-396000000.0,25239941000.0,,-6196340000.0,,137791000.0,752267000.0,834111000.0,-1707933000.0,,27219513000.0,752267000.0,,-13968000.0,,-749780000.0,,,-1785626000.0,,-41216000.0,,-1001248000.0,
2025-06-30,2885,,274332000.0,209193785000.0,232300463000.0,23106678000.0,95079488000.0,-85894783000.0,-1990883000.0,78574118000.0,,,,1653706000.0,21003507000.0,19666012000.0,-38270549000.0,,95079488000.0,21003507000.0,,,,-19111848000.0,,,,-5654450000.0,-823115000.0,,-17558595000.0,
2025-06-30,3006,-152156000.0,84469000.0,4485019000.0,4436602000.0,-48417000.0,-55877000.0,343915000.0,-327665000.0,-79551000.0,,0.0,,189405000.0,-831682000.0,41212000.0,-50170000.0,164018000.0,-55877000.0,-831682000.0,0.0,,,-29258000.0,,-214912000.0,-21309000.0,,-14266000.0,-115600000.0,266471000.0,
2025-06-30,3026,-95920000.0,1236000.0,4502178000.0,5474736000.0,972558000.0,1008741000.0,206180000.0,-148358000.0,1042172000.0,,0.0,,355218000.0,587305000.0,46171000.0,-22923000.0,333468000.0,1008741000.0,587305000.0,,,0.0,-44049000.0,,-132098000.0,-25991000.0,,-10581000.0,-245000000.0,362282000.0,
2025-06-30,3036,51132884000.0,239289000.0,39727726000.0,26913935000.0,-12813791000.0,13025288000.0,-18924242000.0,-1267826000.0,15854639000.0,18218000.0,-809887154000.0,,576143000.0,7452255000.0,1506533000.0,-355682000.0,-39999467000.0,13025288000.0,7452255000.0,,0.0,44052000.0,-1444320000.0,114440706000.0,-271401000.0,-4795088000.0,,-364562000.0,-131181983000.0,2652756000.0,
2025-06-30,3037,-721200000.0,227872000.0,43753285000.0,46073724000.0,2320439000.0,8727374000.0,7922906000.0,-11534033000.0,9336508000.0,266000.0,,,8957568000.0,1730113000.0,442391000.0,-676540000.0,733102000.0,8727374000.0,1730113000.0,591556000.0,,,-535258000.0,5539330000.0,-13402542000.0,-440477000.0,,-242991000.0,-4010131000.0,9294614000.0,
2025-06-30,3138,35566000.0,7785000.0,891382000.0,1332235000.0,440853000.0,-8152000.0,109905000.0,380072000.0,-10220000.0,,-77960000.0,,32699000.0,-38211000.0,10299000.0,-7515000.0,-107900000.0,-8152000.0,-38211000.0,,,,-3623000.0,,-115896000.0,78702000.0,-400000000.0,-5892000.0,-2618000.0,69691000.0,
2025-06-30,3149,-54393000.0,1430000.0,999623000.0,1101872000.0,102249000.0,-233560000.0,506592000.0,-159380000.0,-222013000.0,,-700748000.0,,71408000.0,-310798000.0,24810000.0,-11031000.0,52536000.0,-233560000.0,-310798000.0,,,,-23996000.0,200000000.0,-92145000.0,269000.0,0.0,-15623000.0,-177037000.0,100633000.0,
2025-06-30,3231,124229469000.0,266025000.0,79880425000.0,83079905000.0,3199480000.0,-138098325000.0,163917846000.0,-12619524000.0,-128447655000.0,345653000.0,-439069513000.0,,5586779000.0,32950141000.0,5274702000.0,-1414556000.0,-171939186000.0,-138098325000.0,32950141000.0,0.0,,,-4928632000.0,18955908000.0,-13980059000.0,-135740470000.0,,-1247654000.0,-8190913000.0,10000724000.0,
2025-06-30,3380,262934000.0,122348000.0,3957279000.0,5167861000.0,1210582000.0,24377000.0,1532813000.0,-99439000.0,60722000.0,18364000.0,-2827860000.0,,265442000.0,-306258000.0,61218000.0,-42890000.0,354983000.0,24377000.0,-306258000.0,,,,-60578000.0,125000000.0,-58805000.0,177815000.0,,-18901000.0,0.0,433979000.0,
2025-06-30,3419,28134000.0,2214000.0,335536000.0,258407000.0,-77129000.0,-160923000.0,167797000.0,-29699000.0,-158376000.0,,,0.0,40432000.0,-131351000.0,2532000.0,-995000.0,-5687000.0,-160923000.0,-131351000.0,,,,-2242000.0,,-29998000.0,-135482000.0,,-156000.0,-30047000.0,83046000.0,
2025-06-30,3450,-191602000.0,1358000.0,3138394000.0,3253380000.0,114986000.0,1019765000.0,239810000.0,-763422000.0,1132455000.0,0.0,-250000000.0,,389377000.0,908844000.0,7479000.0,-34958000.0,-346087000.0,1019765000.0,908844000.0,,,,-6843000.0,405000000.0,-617673000.0,297155000.0,,-22185000.0,-219728000.0,592953000.0,
2025-06-30,3686,,64000.0,16450000.0,44093000.0,27643000.0,-14272000.0,-1287000.0,43202000.0,-19108000.0,,,,1321000.0,-12640000.0,55000.0,-4426000.0,,-14272000.0,-12640000.0,,,,-55000.0,,,60000.0,,-1287000.0,,-6078000.0,
2025-06-30,3711,-7702964000.0,1900684000.0,76492824000.0,72785296000.0,-3707528000.0,56818177000.0,37908344000.0,-81134207000.0,64815917000.0,,-5149554000.0,,30722238000.0,19064411000.0,3411368000.0,-937523000.0,3952636000.0,56818177000.0,19064411000.0,,,,-3824753000.0,211534100000.0,-81019446000.0,10223633000.0,-10000000000.0,-532387000.0,-163203765000.0,38131408000.0,
2025-06-30,4536,24510000.0,,7018422000.0,6828424000.0,-189998000.0,1269094000.0,-844561000.0,-213743000.0,1472653000.0,2493000.0,-2043362000.0,,208112000.0,1060402000.0,46909000.0,-137949000.0,360169000.0,1269094000.0,1060402000.0,,,,-46893000.0,88317000.0,-211213000.0,52491000.0,,-12161000.0,-71199000.0,102639000.0,
2025-06-30,4722,17688000.0,430000.0,237414000.0,437529000.0,200115000.0,79994000.0,610699000.0,-453231000.0,108621000.0,,,,32683000.0,72143000.0,5475000.0,-639000.0,-97844000.0,79994000.0,72143000.0,,,,-5550000.0,846066000.0,-1279000.0,69640000.0,,-712000.0,-521641000.0,43796000.0,
2025-06-30,4755,-9942000.0,7292000.0,520648000.0,718358000.0,197710000.0,284653000.0,92131000.0,-173686000.0,372125000.0,0.0,,,201674000.0,202619000.0,21873000.0,-7326000.0,-80441000.0,284653000.0,202619000.0,,,,-20007000.0,,-136703000.0,44019000.0,,-13906000.0,-50000000.0,282973000.0,
2025-06-30,5469,807233000.0,28046000.0,21158826000.0,23342960000.0,2184134000.0,4119963000.0,9023549000.0,-8407842000.0,5265317000.0,11910000.0,,,1444921000.0,3312082000.0,357495000.0,-785041000.0,38959000.0,4119963000.0,3312082000.0,,,,-339243000.0,7758280000.0,-1218360000.0,227285000.0,,-113635000.0,-5602384000.0,1564709000.0,
2025-06-30,6116,-469257000.0,25015000.0,4413010000.0,2703025000.0,-1709985000.0,-454323000.0,-687901000.0,-449563000.0,-431946000.0,,-150481000.0,,1462310000.0,-1615796000.0,44939000.0,-77943000.0,430955000.0,-454323000.0,-1615796000.0,,,,-55184000.0,160000000.0,-517747000.0,279434000.0,,-45456000.0,-596780000.0,1525693000.0,181000.0
2025-06-30,6515,-275304000.0,6038000.0,1123987000.0,2378816000.0,1254829000.0,1440907000.0,-9026000.0,-156416000.0,1607538000.0,0.0,,-213000.0,122067000.0,1030480000.0,2116000.0,-22720000.0,108510000.0,1440907000.0,1030480000.0,,,,-2067000.0,10000000.0,-73995000.0,468797000.0,-700000.0,-8326000.0,-10000000.0,175085000.0,
2025-06-30,6719,155136000.0,23545000.0,1346612000.0,1623854000.0,277242000.0,327957000.0,16449000.0,-46675000.0,212156000.0,85198000.0,,,33605000.0,241233000.0,18853000.0,-131976000.0,-26444000.0,327957000.0,241233000.0,,,,-7794000.0,,-22191000.0,-56749000.0,,-6873000.0,,-57645000.0,
2025-06-30,6768,-358894000.0,4635000.0,7907300000.0,6647744000.0,-1259556000.0,1407758000.0,-659130000.0,-1105019000.0,1529465000.0,135000.0,-2531450000.0,,329780000.0,1219235000.0,45378000.0,-115762000.0,638858000.0,1407758000.0,1219235000.0,,,,-35434000.0,217883000.0,-815994000.0,-109275000.0,,-52250000.0,-470205000.0,277001000.0,
2025-06-30,6770,301989000.0,53616000.0,18355000000.0,24038214000.0,5683214000.0,3445800000.0,-1100973000.0,3338497000.0,2935034000.0,998000.0,,,5554278000.0,-4157945000.0,880129000.0,-447425000.0,-4353000.0,3445800000.0,-4157945000.0,,,,-843649000.0,3047200000.0,-5735399000.0,225784000.0,,-886860000.0,-952449000.0,6245763000.0,
2025-06-30,8046,226524000.0,,8480692000.0,7133991000.0,-1346701000.0,154921000.0,-130588000.0,-653737000.0,379422000.0,,,,3373987000.0,29561000.0,7261000.0,-99012000.0,-495018000.0,154921000.0,29561000.0,,,,-7261000.0,,-1261839000.0,-972449000.0,,-132464000.0,,3500327000.0,
2025-06-30,8105,-159527000.0,27741000.0,2412110000.0,2127534000.0,-284576000.0,-26445000.0,-138080000.0,-92737000.0,-28208000.0,,0.0,,196172000.0,-227872000.0,4415000.0,-21177000.0,215812000.0,-26445000.0,-227872000.0,,-556000.0,0.0,-4566000.0,,-79013000.0,49268000.0,,-374000.0,-137150000.0,210675000.0,
