date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,ret_1d,ret_5d,ret_20d
2025-03-17,3293,1647349,1355053869,824.0,830.0,816.0,818.0,2.0,9678,0.002450980392156854,-0.10307017543859653,-0.09413067552602439
2025-03-18,3293,2404880,2042001090,825.0,863.0,822.0,863.0,45.0,9768,0.055012224938875365,-0.022650056625141524,-0.0740343347639485
2025-03-19,3293,1679575,1439775904,869.0,869.0,847.0,852.0,-11.0,8523,-0.01274623406720743,0.001175088131609936,-0.08387096774193548
2025-03-20,3293,1692741,1470166673,865.0,877.0,858.0,869.0,17.0,5418,0.0199530516431925,0.05717761557177625,-0.05646036916395225
2025-03-21,3293,1853733,1594657219,870.0,876.0,850.0,853.0,-16.0,7961,-0.018411967779056404,0.04534313725490202,-0.07383279044516833
2025-03-24,3293,1326747,1118713054,858.0,862.0,836.0,838.0,-15.0,7096,-0.017584994138335253,0.02444987775061125,-0.09503239740820735
2025-03-25,3293,1012487,856459034,846.0,854.0,839.0,844.0,6.0,3925,0.007159904534606243,-0.022016222479721903,-0.12538860103626948
2025-03-26,3293,4736254,3839985810,802.0,821.0,802.0,808.0,-36.0,27902,-0.042654028436018954,-0.05164319248826288,-0.17043121149897333
2025-03-27,3293,2225065,1801706229,808.0,818.0,802.0,814.0,6.0,9809,0.007425742574257432,-0.06329113924050633,-0.1599587203302374
2025-03-28,3293,1230716,992293396,814.0,814.0,802.0,805.0,-9.0,8354,-0.011056511056511065,-0.056271981242672964,-0.18024439918533608
2025-03-31,3293,2907140,2256586731,774.0,787.0,767.0,772.0,-33.0,22473,-0.04099378881987581,-0.07875894988066823,-0.17872340425531918
2025-04-01,3293,1273467,1017441350,790.0,807.0,784.0,807.0,35.0,6554,0.04533678756476678,-0.04383886255924174,-0.12377850162866455
2025-04-02,3293,1032024,832501905,808.0,812.0,800.0,810.0,3.0,4899,0.0037174721189590088,0.0024752475247524774,-0.1571279916753382
2025-04-07,3293,597253,435397437,729.0,729.0,729.0,729.0,-81.0,10501,-0.09999999999999998,-0.10442260442260443,-0.26586102719033233
2025-04-08,3293,4935634,3509080185,666.0,743.0,666.0,741.0,12.0,19730,0.016460905349794164,-0.07950310559006213,-0.20150862068965514
2025-04-09,3293,6193660,4539031000,745.0,761.0,693.0,715.0,-26.0,23561,-0.03508771929824561,-0.07383419689119175,-0.2160087719298246
2025-04-10,3293,613552,482251872,786.0,786.0,786.0,786.0,71.0,2209,0.09930069930069929,-0.026022304832713727,-0.10985277463193655
2025-04-11,3293,4487895,3600956315,785.0,824.0,769.0,823.0,37.0,13726,0.04707379134860057,0.016049382716049276,-0.03290246768507643
2025-04-14,3293,4030728,3272592871,848.0,849.0,785.0,785.0,-38.0,19007,-0.04617253948967193,0.0768175582990398,-0.045012165450121655
2025-04-15,3293,2163226,1728612924,790.0,807.0,787.0,804.0,19.0,6351,0.02420382165605095,0.08502024291497978,-0.014705882352941124
2025-04-16,3293,3660306,3023701707,802.0,843.0,797.0,814.0,10.0,9942,0.01243781094527363,0.1384615384615384,-0.004889975550122272
2025-04-17,3293,2269482,1883003065,831.0,843.0,816.0,830.0,16.0,6332,0.019656019656019597,0.05597964376590325,-0.03823870220162229
2025-04-18,3293,1573128,1303819863,837.0,838.0,822.0,823.0,-7.0,4526,-0.008433734939759074,0.0,-0.034037558685446
2025-04-21,3293,1968789,1610010713,820.0,834.0,807.0,807.0,-16.0,6334,-0.019441069258809285,0.028025477707006363,-0.07134637514384345
2025-04-22,3293,2234912,1783869334,802.0,810.0,785.0,785.0,-22.0,12532,-0.027261462205700138,-0.023631840796019876,-0.0797186400937866
2025-04-23,3293,1879169,1520486932,820.0,824.0,797.0,805.0,20.0,10733,0.02547770700636942,-0.011056511056511065,-0.039379474940334114
2025-04-24,3293,1637983,1338296561,812.0,827.0,810.0,817.0,12.0,3859,0.014906832298136719,-0.015662650602409678,-0.03199052132701419
2025-04-25,3293,1174892,971713255,830.0,833.0,823.0,824.0,7.0,3822,0.008567931456548328,0.0012150668286756705,0.01980198019801982
2025-04-28,3293,1124053,924658425,832.0,832.0,816.0,827.0,3.0,3573,0.00364077669902918,0.024783147459727317,0.01597051597051591
2025-04-29,3293,2022241,1693395741,830.0,845.0,824.0,840.0,13.0,5447,0.01571946795646917,0.07006369426751591,0.04347826086956519
2025-04-30,3293,1233639,1029405279,845.0,845.0,830.0,832.0,-8.0,3746,-0.00952380952380949,0.03354037267080745,0.07772020725388606
2025-05-02,3293,1512193,1276133474,838.0,849.0,838.0,848.0,16.0,4786,0.019230769230769162,0.0379436964504285,0.050805452292441045
2025-05-05,3293,1953825,1616836915,854.0,854.0,813.0,827.0,-21.0,18050,-0.024764150943396235,0.00364077669902918,0.020987654320987703
2025-05-06,3293,2273781,1914869085,821.0,854.0,820.0,853.0,26.0,6359,0.03143893591293834,0.03143893591293834,0.17009602194787377
2025-05-07,3293,2906814,2480204359,857.0,874.0,839.0,839.0,-14.0,9359,-0.016412661195779554,-0.0011904761904761862,0.13225371120107954
2025-05-08,3293,1489381,1273681652,848.0,860.0,847.0,857.0,18.0,4469,0.021454112038140627,0.030048076923076872,0.19860139860139858
2025-05-09,3293,3222365,2785694110,879.0,879.0,847.0,867.0,10.0,9353,0.011668611435239118,0.022405660377358583,0.10305343511450382
2025-05-12,3293,2322893,2018481092,875.0,885.0,860.0,863.0,-4.0,6972,-0.0046136101499423265,0.043530834340991476,0.048602673147023046
2025-05-13,3293,3612917,3204527516,878.0,902.0,873.0,888.0,25.0,10357,0.028968713789107703,0.041031652989449,0.13121019108280252
2025-05-14,3293,2790546,2467453261,895.0,895.0,876.0,881.0,-7.0,11835,-0.007882882882882858,0.05005959475566146,0.09577114427860689
2025-05-15,3293,2274141,1972523401,878.0,881.0,861.0,861.0,-20.0,12232,-0.022701475595913734,0.004667444574095736,0.057739557739557634
2025-05-16,3293,1808611,1579710506,868.0,880.0,852.0,875.0,14.0,4651,0.016260162601626105,0.009227220299884653,0.054216867469879526
2025-05-19,3293,1661866,1429458938,875.0,875.0,855.0,855.0,-20.0,7255,-0.02285714285714291,-0.009269988412514474,0.03888213851761857
2025-05-20,3293,1269274,1095424442,860.0,867.0,858.0,867.0,12.0,3067,0.01403508771929829,-0.023648648648648685,0.07434944237918217
2025-05-21,3293,1529662,1315427572,867.0,872.0,855.0,862.0,-5.0,5964,-0.005767012687427964,-0.02156640181611802,0.09808917197452227
2025-05-22,3293,1637787,1393820038,861.0,861.0,844.0,848.0,-14.0,7751,-0.016241299303944357,-0.015098722415795574,0.05341614906832293
2025-05-23,3293,1687772,1436983668,858.0,866.0,842.0,842.0,-6.0,6277,-0.007075471698113178,-0.0377142857142857,0.030599755201958345
2025-05-26,3293,757157,636485282,842.0,845.0,834.0,842.0,0.0,3799,0.0,-0.01520467836257311,0.02184466019417486
2025-05-27,3293,648057,547380915,848.0,852.0,840.0,840.0,-2.0,3258,-0.002375296912114022,-0.03114186851211076,0.01571946795646917
2025-05-28,3293,882494,747994324,851.0,851.0,843.0,849.0,9.0,2853,0.010714285714285676,-0.015081206496519672,0.010714285714285676
2025-05-29,3293,1764883,1497542161,854.0,859.0,843.0,843.0,-6.0,4276,-0.007067137809187329,-0.005896226415094352,0.013221153846153744
2025-06-02,3293,1501834,1251035200,844.0,853.0,826.0,830.0,-13.0,7551,-0.01542111506524313,-0.014251781472684133,-0.021226415094339646
2025-06-03,3293,2675201,2237045391,838.0,849.0,828.0,832.0,2.0,5194,0.002409638554216942,-0.01187648456057011,0.006045949214026569
2025-06-04,3293,1321847,1105518831,834.0,841.0,832.0,837.0,5.0,3942,0.006009615384615419,-0.0035714285714285587,-0.01875732708089095
2025-06-05,3293,3289438,2832843939,846.0,870.0,846.0,868.0,31.0,8120,0.03703703703703698,0.022379269729092988,0.03456495828367112
2025-06-06,3293,1745592,1485963409,865.0,865.0,846.0,848.0,-20.0,6230,-0.02304147465437789,0.005931198102016699,-0.010501750291715295
2025-06-09,3293,986341,836259786,854.0,857.0,844.0,848.0,0.0,3360,0.0,0.02168674698795181,-0.021914648212226107
