mkt_price,stock_id,date,mkt_ret_1d,mkt_ret_5d,mkt_ret_20d
59630.95,TAIEX,2025-09-23,0.01421942575991264,0.024194161997351138,0.08252216566337234
417.35,TPEx,2025-06-25,,,
417.77,TPEx,2025-06-26,0.0010063495866776684,,
418.77,TPEx,2025-06-27,0.0023936615841251285,,
414.79,TPEx,2025-06-30,-0.009504023688420737,,
416.59,TPEx,2025-07-01,0.00433954531208558,,
418.09,TPEx,2025-07-02,0.0036006625219040522,0.0017730921289085266,
421.46,TPEx,2025-07-03,0.008060465450022702,0.008832611245422006,
416.79,TPEx,2025-07-04,-0.011080529587623844,-0.004728132387706752,
412.06,TPEx,2025-07-07,-0.011348640802322563,-0.006581643723329922,
410.81,TPEx,2025-07-08,-0.003033538805028435,-0.01387455291773676,
415.67,TPEx,2025-07-09,0.01183028650714446,-0.005788227415149727,
416.37,TPEx,2025-07-10,0.0016840281954435543,-0.012077065439187518,
419.11,TPEx,2025-07-11,0.006580685448039025,0.0055663523597015985,
415.83,TPEx,2025-07-14,-0.007826107704421381,0.00914915303596553,
419.24,TPEx,2025-07-15,0.008200466536806061,0.020520435237701085,
420.71,TPEx,2025-07-16,0.0035063448144261322,0.012125003007193103,
426.55,TPEx,2025-07-17,0.013881295904542457,0.02444940797848072,
425.93,TPEx,2025-07-18,-0.0014535224475442643,0.01627257760492462,
424.93,TPEx,2025-07-21,-0.002347803629704437,0.021883942957458657,
414.57,TPEx,2025-07-22,-0.024380486197726703,-0.011139204274401293,
420.99,TPEx,2025-07-23,0.015485925175483084,0.000665541584464524,0.00872169641787468
422.98,TPEx,2025-07-24,0.004726953134278844,-0.008369476028601608,0.01247097685329246
422.76,TPEx,2025-07-25,-0.0005201191545700645,-0.007442537506162972,0.009527903144924466
424.06,TPEx,2025-07-28,0.0030750307503075724,-0.0020473960417010106,0.02234865835724098
420.12,TPEx,2025-07-29,-0.009291138046502834,0.013387365221796177,0.008473559134880793
420.77,TPEx,2025-07-30,0.0015471769970483162,-0.00052257773343789,0.006410103087851837
421.9,TPEx,2025-07-31,0.0026855526772346927,-0.0025533122133435393,0.001043989939733203
425.61,TPEx,2025-08-01,0.008793552974638574,0.006741413567981969,0.021161736126106723
425.38,TPEx,2025-08-04,-0.0005404008364465751,0.003112767061264954,0.03232538950638264
431.14,TPEx,2025-08-05,0.013540834077765851,0.026230600780729363,0.04948759767289013
429.57,TPEx,2025-08-06,-0.00364150855870482,0.020914038548375702,0.033439988452377944
436.01,TPEx,2025-08-07,0.014991735921968452,0.033443944062574005,0.047169584744337856
436.47,TPEx,2025-08-08,0.0010550216738149931,0.025516317755691853,0.04142110663071752
437.22,TPEx,2025-08-11,0.0017183311567805504,0.02783393671540746,0.05143929009450998
441.17,TPEx,2025-08-12,0.00903435341475678,0.023263904996057017,0.052308939986642544
443.02,TPEx,2025-08-13,0.00419339483645742,0.031310380147589356,0.05302940267642797
447.09,TPEx,2025-08-14,0.00918694415601995,0.02541226118667006,0.048153792052514355
448.09,TPEx,2025-08-15,0.0022366861258360515,0.026622677389052996,0.05202732843424962
452.25,TPEx,2025-08-18,0.009283849226717988,0.034376286537669776,0.06429294236697802
449.8,TPEx,2025-08-19,-0.0054173576561635794,0.019561620237096733,0.08497961743493265
439.52,TPEx,2025-08-20,-0.0228546020453535,-0.00790032052728995,0.04401529727546971
447.54,TPEx,2025-08-21,0.018247178740444125,0.0010065087566262232,0.05806421107380966
444.73,TPEx,2025-08-22,-0.006278768378245481,-0.007498493606195034,0.05196801968019682
450.86,TPEx,2025-08-25,0.01378364400872445,-0.00307352128247651,0.06319860397113608
456.01,TPEx,2025-08-26,0.01142261455884297,0.013806136060471319,0.08542797296010662
462.49,TPEx,2025-08-27,0.014210214688274325,0.05226155806334187,0.09915155548161714
463.03,TPEx,2025-08-28,0.0011675928128174196,0.0346114313804351,0.09748755629296046
464.89,TPEx,2025-08-29,0.004017018335745082,0.04533087491286847,0.09229106458964775
460.11,TPEx,2025-09-01,-0.010282002194067386,0.020516346537727825,0.08164464713902864
457.76,TPEx,2025-09-02,-0.005107474299624104,0.003837635139580353,0.06174328524377226
463.02,TPEx,2025-09-03,0.01149073750436913,0.0011459707236911587,0.0778685662406593
463.64,TPEx,2025-09-04,0.0013390350308841725,0.0013174092391421421,0.06337010619022498
470.76,TPEx,2025-09-05,0.015356742300060455,0.012626642861752302,0.07856210048800594
473.97,TPEx,2025-09-08,0.006818761152179498,0.03012323140118678,0.0840537944284343
473.7,TPEx,2025-09-09,-0.000569656307361277,0.034821740650122335,0.07373574812430572
475.77,TPEx,2025-09-10,0.004369854338188706,0.027536607489957232,0.07392442779107045
468.25,TPEx,2025-09-11,-0.015805956659730502,0.009943059270123511,0.04732827842268894
471.01,TPEx,2025-09-12,0.005894287239722296,0.0005310561644999989,0.05115043852797441
466.88,TPEx,2025-09-15,-0.008768391329271097,-0.014958752663670749,0.03234936428966284
473.28,TPEx,2025-09-16,0.013708019191226883,-0.0008866371120962446,0.05220097821253877
470.65,TPEx,2025-09-17,-0.005556964164976308,-0.0107615024066251,0.07082726610848189
478.99,TPEx,2025-09-18,0.01772017422713268,0.02293646556326756,0.07027304821915359
480.52,TPEx,2025-09-19,0.0031942211737197024,0.020190654126239327,0.08047579430216079
485.57,TPEx,2025-09-22,0.010509448097894003,0.040031699794379705,0.07698620414319302
484.64,TPEx,2025-09-23,-0.0019152748316412227,0.024002704530087904,0.06278371088353318
