date,stock_id,AccountsPayable,AccountsPayableToRelatedParties,AccountsPayableToRelatedParties_per,AccountsPayable_per,AccountsReceivableDuefromRelatedPartiesNet,AccountsReceivableDuefromRelatedPartiesNet_per,AccountsReceivableNet,AccountsReceivableNet_per,BillsReceivableNet,BillsReceivableNet_per,BondsPayable,BondsPayable_per,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplusAdditionalPaidInCapital,CapitalSurplusAdditionalPaidInCapital_per,CapitalSurplusChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,CapitalSurplusChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod_per,CapitalSurplusDonatedAssetsReceived,CapitalSurplusDonatedAssetsReceived_per,CapitalSurplusNetAssetsFromMerger,CapitalSurplusNetAssetsFromMerger_per,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,CurrentContractLiabilities,CurrentContractLiabilities_per,CurrentDerivativeFinancialLiabilitiesForHedging,CurrentDerivativeFinancialLiabilitiesForHedging_per,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss_per,CurrentIncomeTaxAssets,CurrentIncomeTaxAssets_per,CurrentLiabilities,CurrentLiabilities_per,CurrentProvisions,CurrentProvisions_per,CurrentTaxLiabilities,CurrentTaxLiabilities_per,DeferredTaxAssets,DeferredTaxAssets_per,Equity,EquityAttributableToOwnersOfParent,EquityAttributableToOwnersOfParent_per,Equity_per,FinancialAssetsAtAmortizedCost,FinancialAssetsAtAmortizedCostNonCurrent,FinancialAssetsAtAmortizedCostNonCurrent_per,FinancialAssetsAtAmortizedCost_per,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncome,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncomeNonCurrent,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncomeNonCurrent_per,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncome_per,HedgingAinancialAssets,HedgingAinancialAssetsNonCurrent,HedgingAinancialAssetsNonCurrent_per,HedgingAinancialAssets_per,IntangibleAssets,IntangibleAssets_per,Inventories,Inventories_per,InvestmentAccountedForUsingEquityMethod,InvestmentAccountedForUsingEquityMethod_per,LegalReserve,LegalReserve_per,Liabilities,Liabilities_per,LongtermBorrowings,LongtermBorrowings_per,NonCurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,NonCurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,NoncontrollingInterests,NoncontrollingInterests_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,NumberOfSharesInEntityHeldByEntityAndByItsSubsidiaries,OrdinaryShare,OrdinaryShare_per,OtherCurrentAssets,OtherCurrentAssets_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,OtherNoncurrentAssets,OtherNoncurrentAssets_per,OtherNoncurrentLiabilities,OtherNoncurrentLiabilities_per,OtherPayables,OtherPayables_per,OtherReceivable,OtherReceivable_per,OtherReceivablesDueFromRelatedParties,OtherReceivablesDueFromRelatedParties_per,Prepayments,Prepayments_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,RightOfUseAsset,RightOfUseAsset_per,ShorttermBorrowings,ShorttermBorrowings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,UnappropriatedRetainedEarningsAaccumulatedDeficit,UnappropriatedRetainedEarningsAaccumulatedDeficit_per
2025-06-30,2033,5352000.0,,,0.44,,,105594000.0,8.77,66587000.0,5.53,,,806945000.0,67.02,18038000.0,17629000.0,1.46,,,409000.0,0.03,,,1.5,72186000.0,6.0,467635000.0,38.84,,,,,,,0.0,0.0,0.0,0.0,143589000.0,11.93,,,4673000.0,0.39,3287000.0,0.27,1040651000.0,,,86.43,,,,,,85660000.0,7.11,,,,,,,,220793000.0,18.34,2343000.0,0.19,100315000.0,8.33,163379000.0,13.57,,,,,,,736395000.0,61.16,19790000.0,1.64,0.0,806945000.0,67.02,573000.0,0.05,460000.0,0.04,71820000.0,5.96,69109000.0,5.74,,,53595000.0,4.45,,,,,1902000.0,0.16,438182000.0,36.39,143848000.0,11.95,6665000.0,0.55,70000000.0,5.81,1204030000.0,100.0,1204030000.0,100.0,31530000.0,2.62
2025-06-30,2239,3406479000.0,158397000.0,0.47,10.16,,,3622216000.0,10.81,979568000.0,2.92,,,1203466000.0,3.59,9221887000.0,8286859000.0,24.72,866212000.0,2.58,,,,,27.51,5707506000.0,17.03,17347177000.0,51.75,208817000.0,0.62,,,,,,,25564000.0,0.08,13104189000.0,39.09,,,22380000.0,0.07,558562000.0,1.67,15767266000.0,10588509000.0,31.59,47.04,751059000.0,,,2.24,,73249000.0,0.22,,,,,,1027237000.0,3.06,4335873000.0,12.93,669886000.0,2.0,576719000.0,1.72,17754296000.0,52.96,3690037000.0,11.01,,,5178757000.0,15.45,16174385000.0,48.25,4650107000.0,13.87,0.0,1203466000.0,3.59,523416000.0,1.56,2525082000.0,7.53,-2478124000.0,-7.39,590473000.0,1.76,198178000.0,0.59,1046205000.0,3.12,125276000.0,0.37,,,1276699000.0,3.81,11877532000.0,35.43,2641280000.0,7.88,1377446000.0,4.11,2896225000.0,8.64,33521562000.0,100.0,33521562000.0,100.0,913488000.0,2.73
2025-06-30,2241,52816000.0,,,2.5,,,161397000.0,7.65,,,,,1046023000.0,49.58,1092201000.0,1076720000.0,51.04,,,,,,,51.77,90176000.0,4.27,793017000.0,37.59,,,,,11480000.0,0.54,0.0,0.0,,,273207000.0,12.95,,,32735000.0,1.55,25837000.0,1.22,1458255000.0,1361031000.0,64.51,69.12,4038000.0,3245000.0,0.15,0.19,,,,,,,,,23722000.0,1.12,245212000.0,11.62,5632000.0,0.27,27581000.0,1.31,651404000.0,30.88,347257000.0,16.46,,,97224000.0,4.61,1316642000.0,62.41,378197000.0,17.93,0.0,1046023000.0,49.58,257835000.0,12.22,71472000.0,3.39,-8686000.0,-0.41,13016000.0,0.62,6804000.0,0.32,78653000.0,3.73,,,,,22879000.0,1.08,1218451000.0,57.76,-768507000.0,-36.43,26739000.0,1.27,30000000.0,1.42,2109659000.0,100.0,2109659000.0,100.0,-796088000.0,-37.74
2025-06-30,2301,39616891000.0,969000.0,0.0,20.33,5777000.0,0.0,34043511000.0,17.47,287083000.0,0.15,,,23409948000.0,12.01,22385704000.0,,,,,,,,,11.49,92230500000.0,47.33,156455283000.0,80.29,394884000.0,0.2,,,91035000.0,0.05,1955655000.0,1.0,,,108243082000.0,55.55,672704000.0,0.35,7986126000.0,4.1,3964243000.0,2.03,80639739000.0,80489113000.0,41.3,41.38,0.0,418849000.0,0.21,0.0,,1117909000.0,0.57,,0.0,,,0.0,3098654000.0,1.59,25878909000.0,13.28,4114800000.0,2.11,20255034000.0,10.39,114229781000.0,58.62,3000000000.0,1.54,1055200000.0,0.54,150626000.0,0.08,38414237000.0,19.71,5986699000.0,3.07,71223221.0,23409948000.0,12.01,3079485000.0,1.58,4606777000.0,2.36,-7484923000.0,-3.84,2045418000.0,1.05,112595000.0,0.06,15953477000.0,8.19,584088000.0,0.3,52547000.0,0.03,,,19985486000.0,10.26,47200932000.0,24.22,1569618000.0,0.81,36673176000.0,18.82,194869520000.0,100.0,194869520000.0,100.0,26945898000.0,13.83
2025-06-30,2317,984127834000.0,19645003000.0,0.47,23.78,34124056000.0,0.82,906398838000.0,21.9,,,264668094000.0,6.39,138917408000.0,3.36,198653366000.0,93434108000.0,2.26,6744446000.0,0.16,,,,,4.8,870519926000.0,21.03,3159842208000.0,76.34,,,,,3726088000.0,0.09,8937734000.0,0.22,,,2130491261000.0,51.47,5961927000.0,0.14,19711279000.0,0.48,24465402000.0,0.59,1631607580000.0,1460387759000.0,35.28,39.42,327518459000.0,7895129000.0,0.19,7.91,,95537137000.0,2.31,,71977000.0,,,0.0,38063997000.0,0.92,935826587000.0,22.61,183219188000.0,4.43,229107982000.0,5.54,2507334694000.0,60.58,25625664000.0,0.62,91603561000.0,2.21,171219821000.0,4.14,979100066000.0,23.66,376843433000.0,9.1,1483078.0,138917019000.0,3.36,6583664000.0,0.16,164877804000.0,3.98,-233720314000.0,-5.65,18552170000.0,0.45,15779014000.0,0.38,308873166000.0,7.46,40225793000.0,0.97,7408899000.0,0.18,27437921000.0,0.66,458117557000.0,11.07,1356552493000.0,32.78,53921362000.0,1.3,511639434000.0,12.36,4138942274000.0,100.0,4138942274000.0,100.0,1084839989000.0,26.21
2025-06-30,2331,2643283000.0,,,12.05,11008000.0,0.05,2797253000.0,12.75,,,,,5574030000.0,25.41,5437323000.0,,,,,,,,,24.79,3699190000.0,16.87,13171814000.0,60.05,,,,,1298543000.0,5.92,,,,,10175962000.0,46.4,175253000.0,0.8,342359000.0,1.56,1023744000.0,4.67,10757450000.0,10748612000.0,49.01,49.05,2811375000.0,409298000.0,1.87,12.82,,3312259000.0,15.1,,,,,,619788000.0,2.83,2024709000.0,9.23,,,236014000.0,1.08,11175705000.0,50.95,,,61474000.0,0.28,8838000.0,0.04,8761341000.0,39.95,999743000.0,4.56,0.0,5574030000.0,25.41,79126000.0,0.36,4742806000.0,21.62,-1890280000.0,-8.62,300630000.0,1.37,39890000.0,0.18,1073859000.0,4.9,375034000.0,1.71,,,75576000.0,0.34,2014500000.0,9.18,1627539000.0,7.42,854890000.0,3.9,682284000.0,3.11,21933155000.0,100.0,21933155000.0,100.0,633565000.0,2.89
2025-06-30,2344,6126360000.0,1297451000.0,0.72,3.41,22537000.0,0.01,11832811000.0,6.59,,,4810433000.0,2.68,45000002000.0,25.06,13757786000.0,,,,,,,,,7.66,20317197000.0,11.31,64974715000.0,36.18,,,,,574453000.0,0.32,5321000.0,0.0,,,42031009000.0,23.41,,,326792000.0,0.18,2338181000.0,1.3,94303608000.0,87662743000.0,48.82,52.52,,,,,7943573000.0,2831676000.0,1.58,4.42,,,,,803756000.0,0.45,21628915000.0,12.04,7624979000.0,4.25,4823815000.0,2.69,85268971000.0,47.48,33265816000.0,18.52,0.0,0.0,6640865000.0,3.7,114597864000.0,63.82,43237962000.0,24.08,0.0,45000002000.0,25.06,1678404000.0,0.93,21277420000.0,11.85,3631715000.0,2.02,1265534000.0,0.7,1696179000.0,0.94,9459068000.0,5.27,976825000.0,0.54,,,,,96602990000.0,53.8,25273240000.0,14.07,1866666000.0,1.04,3254400000.0,1.81,179572579000.0,100.0,179572579000.0,100.0,20449425000.0,11.39
2025-06-30,2356,122666451000.0,,,36.89,,,138074785000.0,41.52,,,,,35874751000.0,10.79,2892134000.0,,,,,,,,,0.87,40970875000.0,12.32,277334517000.0,83.4,19315592000.0,5.81,,,3218867000.0,0.97,25490000.0,0.01,,,252532607000.0,75.95,,,4428118000.0,1.33,,,63572269000.0,64428579000.0,19.38,19.12,,,,,352235000.0,4403797000.0,1.32,0.11,,,,,194672000.0,0.06,78198373000.0,23.52,475814000.0,0.14,,,268944603000.0,80.88,7195218000.0,2.16,323557000.0,0.1,-856310000.0,-0.26,55182355000.0,16.6,16411996000.0,4.94,0.0,35874751000.0,10.79,13905020000.0,4.18,12432869000.0,3.74,-5467576000.0,-1.64,5697992000.0,1.71,7146800000.0,2.15,17332177000.0,5.21,2614362000.0,0.79,,,,,35594918000.0,10.7,31129270000.0,9.36,3885721000.0,1.17,76097058000.0,22.89,332516872000.0,100.0,332516872000.0,100.0,,
2025-06-30,2375,789459000.0,3006000.0,0.02,5.84,212342000.0,1.57,1350185000.0,9.98,178768000.0,1.32,,,1086753000.0,8.04,4732931000.0,,,,,,,,,35.0,973120000.0,7.2,5921207000.0,43.79,,,,,526171000.0,3.89,57000.0,0.0,,,3978412000.0,29.42,12351000.0,0.09,189789000.0,1.4,338550000.0,2.5,9020029000.0,9020029000.0,66.7,66.7,1065250000.0,2650571000.0,19.6,7.88,0.0,0.0,0.0,0.0,,,,,60847000.0,0.45,1317622000.0,9.74,2419250000.0,17.89,,,4502560000.0,33.3,16327000.0,0.12,,,,,7601382000.0,56.21,524148000.0,3.88,0.0,1086753000.0,8.04,181708000.0,1.34,74105000.0,0.55,-771792000.0,-5.71,75646000.0,0.56,9274000.0,0.07,720129000.0,5.33,73503000.0,0.54,42538000.0,0.31,,,1898908000.0,14.04,3972137000.0,29.37,157610000.0,1.17,2007000000.0,14.84,13522589000.0,100.0,13522589000.0,100.0,,
2025-06-30,2431,82202000.0,,,5.94,5876000.0,0.42,42059000.0,3.04,1690000.0,0.12,,,1109270000.0,80.14,159338000.0,94152000.0,6.8,,,,,,,11.51,632440000.0,45.69,1011703000.0,73.09,10520000.0,0.76,,,13249000.0,0.96,,,,,131841000.0,9.53,,,20000.0,0.0,15768000.0,1.14,1234577000.0,1234577000.0,89.2,89.2,211606000.0,,,15.29,,115498000.0,8.34,,,,,,1110000.0,0.08,93215000.0,6.73,,,39910000.0,2.88,149555000.0,10.8,,,,,,,372429000.0,26.91,17714000.0,1.28,0.0,1109270000.0,80.14,91000.0,0.01,1378000.0,0.1,-100617000.0,-7.27,12163000.0,0.88,5275000.0,0.38,32241000.0,2.33,7724000.0,0.56,,,3753000.0,0.27,66256000.0,4.79,66586000.0,4.81,16560000.0,1.2,,,1384132000.0,100.0,1384132000.0,100.0,-102609000.0,-7.41
