date,stock_id,BadDebts,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent,Expense,GrossProfit,Income,IncomeAfterTax,IncomeAfterTaxes,IncomeBeforeTaxFromContinuingOperations,IncomeFromContinuingOperations,NetChangeInProvisionsForInsuranceLiabilities,NetInterestIncome,NetNonInterestIncome,NoncontrollingInterests,OTHNOE,OperatingExpenses,OperatingIncome,OtherComprehensiveIncome,OtherComprehensiveIncomeAfterTax,OtherComprehensiveIncomeAfterTaxThePeriod,PreTaxIncome,RealizedGain,Revenue,TAX,TotalConsolidatedProfitForThePeriod,TotalNonbusinessIncome,TotalNonoperatingIncomeAndExpense,UnrealizedGain
2025-06-30,2855,,5372000.0,,0.38,587786000.0,2046943000.0,,2311393000.0,,593340000.0,,593340000.0,,,,5554000.0,,,264450000.0,,,-197626000.0,701770000.0,,,108430000.0,395714000.0,437320000.0,,
2025-06-30,2885,130952000.0,475080000.0,,0.63,8589919000.0,,,,9306590000.0,,,9306590000.0,-2763184000.0,9398543000.0,14355836000.0,716671000.0,,15449419000.0,,,,-3265328000.0,10937192000.0,,23754379000.0,1630602000.0,6041262000.0,,,
2025-06-30,3006,,16000.0,3161731000.0,-2.59,-726945000.0,,126698000.0,,,-726929000.0,,-726929000.0,,,,16000.0,,517407000.0,-390709000.0,-26603000.0,,,-754208000.0,,3288429000.0,-27279000.0,-753532000.0,,-363499000.0,
2025-06-30,3026,,5347000.0,2623915000.0,1.39,229970000.0,,648178000.0,,,237365000.0,,237365000.0,,,,7395000.0,,351580000.0,296598000.0,-153151000.0,,,295175000.0,,3272093000.0,57810000.0,84214000.0,,-1423000.0,
2025-06-30,3036,,-108083000.0,248286114000.0,2.28,2830135000.0,,11217236000.0,,,2839141000.0,,2839141000.0,,,,9006000.0,,6556874000.0,4660362000.0,-24172871000.0,,,3950808000.0,,259503350000.0,1111667000.0,-21333730000.0,,-709554000.0,
2025-06-30,3037,,-389815000.0,28220529000.0,0.02,29607000.0,,4245516000.0,,,260125000.0,,260125000.0,,,,230518000.0,6860000.0,2743019000.0,1509357000.0,-5428900000.0,,,356754000.0,,32466045000.0,96629000.0,-5168775000.0,,-1152603000.0,
2025-06-30,3138,,-397000.0,246388000.0,-0.62,-30998000.0,,172663000.0,,,-31395000.0,,-31395000.0,,,,-397000.0,,157643000.0,15020000.0,-95626000.0,,,-27916000.0,,419051000.0,3479000.0,-127021000.0,,-42936000.0,
2025-06-30,3149,,,614802000.0,-0.8,-164792000.0,,-48844000.0,,,-164792000.0,,-164792000.0,,,,,,89438000.0,-138282000.0,-20007000.0,,,-164792000.0,,565958000.0,0.0,-184799000.0,,-26510000.0,
2025-06-30,3231,,3450450000.0,526837963000.0,2.21,6503888000.0,,24453488000.0,,,13737544000.0,,13737544000.0,,,,7233656000.0,,13666144000.0,10787344000.0,-16177551000.0,,,18143315000.0,,551291451000.0,4405771000.0,-2440007000.0,,7355971000.0,
2025-06-30,3380,,-154853000.0,4825669000.0,-0.19,-104709000.0,,868339000.0,,,-139084000.0,,-139084000.0,,,,-34375000.0,,997220000.0,-128881000.0,-692395000.0,,,-174749000.0,,5694008000.0,-35665000.0,-831479000.0,,-45868000.0,
