date,stock_id,volume,turnover,open,high,low,close,spread,transactions
2025-03-27,3035,3853624,929684692,242.0,243.5,239.0,243.5,-2.0,7010
2025-03-28,3035,6028214,1439382710,241.0,244.5,233.0,236.0,-7.5,9807
2025-03-31,3035,8335813,1823648359,226.5,230.5,212.5,212.5,-23.5,9562
2025-04-01,3035,7333049,1574174851,214.0,221.5,209.0,219.5,7.0,7293
2025-04-02,3035,8905113,2018652574,217.0,232.5,216.0,231.5,12.0,7952
2025-04-07,3035,278941,58159067,208.5,208.5,208.5,208.5,-23.0,912
2025-04-08,3035,13212798,2561277108,202.0,205.5,188.0,192.0,-16.5,17151
2025-04-09,3035,11133579,2005970586,175.0,189.5,173.0,173.0,-19.0,10911
2025-04-10,3035,977245,185676550,190.0,190.0,190.0,190.0,17.0,878
2025-04-11,3035,13267982,2524745169,188.5,200.5,178.5,200.5,10.5,12465
2025-04-14,3035,10178802,2094740127,206.5,211.0,202.0,206.0,5.5,8427
2025-04-15,3035,8538332,1830131055,208.0,219.0,206.5,219.0,13.0,7525
2025-04-16,3035,5084050,1097281477,216.5,220.5,212.0,212.0,-7.0,11795
2025-04-17,3035,14895798,2988076017,202.5,207.0,194.0,202.0,-10.0,37449
2025-04-18,3035,10954288,2182199723,201.0,204.5,195.5,196.5,-5.5,10064
2025-04-21,3035,4977972,961957135,198.0,198.0,190.0,190.5,-6.0,4545
2025-04-22,3035,7793431,1489262933,189.5,196.5,187.5,188.0,-2.5,6826
2025-04-23,3035,32796575,5986095461,192.0,192.5,176.0,178.0,-10.0,29713
2025-04-24,3035,14725580,2622488742,180.5,182.5,174.5,175.0,-3.0,13163
2025-04-25,3035,13399696,2409176509,181.5,183.0,177.5,178.5,3.5,10491
2025-04-28,3035,9255614,1683086800,179.5,184.0,179.5,183.0,4.5,7439
2025-04-29,3035,6383918,1167863666,183.0,184.5,181.0,184.0,1.0,6446
2025-04-30,3035,6025021,1093274888,184.0,184.5,179.5,180.0,-4.0,9119
2025-05-02,3035,7430783,1358147832,182.0,186.0,180.5,181.0,1.0,6190
2025-05-05,3035,10889149,1889531599,182.5,182.5,167.0,173.5,-7.5,10333
2025-05-06,3035,6480440,1136551981,172.0,178.0,171.5,178.0,4.5,5394
2025-05-07,3035,5513135,970230614,179.5,179.5,173.0,175.5,-2.5,4768
2025-05-08,3035,6305846,1132859939,177.5,182.0,177.0,181.5,6.0,5292
2025-05-09,3035,5589962,1014709049,183.5,184.0,178.5,182.0,0.5,4944
2025-05-12,3035,6920055,1276449385,183.5,186.0,182.0,185.0,3.0,5700
2025-05-13,3035,6994569,1316634259,190.5,191.0,185.5,186.0,1.0,7127
2025-05-14,3035,4949438,937870753,189.0,191.0,188.0,189.5,3.5,4704
2025-05-15,3035,3569394,672909351,191.5,191.5,187.0,187.5,-2.0,5325
2025-05-16,3035,2931135,546516354,188.5,188.5,185.5,186.0,-1.5,3243
2025-05-19,3035,3522368,646128214,186.5,187.5,180.5,180.5,-5.5,4494
2025-05-20,3035,4502005,829266709,183.0,187.0,182.0,182.0,1.5,4122
2025-05-21,3035,4161374,770954919,184.0,187.0,183.0,186.5,4.5,4840
2025-05-22,3035,2817905,514842331,184.5,185.0,181.5,183.0,-3.5,2901
2025-05-23,3035,2723609,500106477,184.5,185.5,182.5,182.5,-0.5,2595
2025-05-26,3035,3975042,718827033,184.0,184.5,178.0,179.0,-3.5,4274
2025-05-27,3035,3812216,670292312,179.5,179.5,174.0,174.0,-5.0,4251
2025-05-28,3035,3637805,636483035,177.0,179.0,171.5,173.5,-0.5,3655
2025-05-29,3035,3172442,558019195,176.5,178.0,173.5,176.0,2.5,2971
2025-06-02,3035,8692570,1441479070,174.5,174.5,162.5,163.5,-12.5,9240
2025-06-03,3035,3738599,615292731,165.5,167.5,162.5,163.5,0.0,3537
2025-06-04,3035,9260596,1610926997,167.0,178.0,166.5,177.0,13.5,8566
2025-06-05,3035,3519746,624170143,176.0,179.0,175.5,178.0,1.0,4282
2025-06-06,3035,2508202,448255919,176.5,180.0,175.5,180.0,2.0,3180
2025-06-09,3035,2481095,445804068,181.0,182.0,178.5,178.5,-1.5,4971
2025-06-10,3035,3870448,704397504,180.0,183.5,180.0,183.0,4.5,3817
2025-06-11,3035,4228109,779359336,184.0,186.0,182.0,186.0,3.0,4093
2025-06-12,3035,1901223,349361636,185.5,186.0,182.5,182.5,-3.5,2778
2025-06-13,3035,2018357,360287687,181.0,181.0,177.0,177.0,-5.5,2774
2025-06-16,3035,2379345,423899333,177.0,180.0,175.0,179.5,2.5,5299
2025-06-17,3035,3603057,642525241,180.5,180.5,176.0,176.5,0.0,3914
2025-06-18,3035,1839671,323317275,177.0,178.5,174.5,175.5,-1.0,2621
2025-06-19,3035,11240616,2044130423,176.0,187.0,170.0,184.0,8.5,10448
2025-06-20,3035,12330610,2201716531,182.5,183.0,174.5,178.0,-6.0,18283
2025-06-23,3035,4126188,716040129,173.0,175.0,171.5,174.5,-3.5,4457
2025-06-24,3035,3979263,715857227,177.0,181.5,177.0,180.5,6.0,3812
2025-06-25,3035,7004497,1294110622,182.5,187.5,180.5,186.5,6.0,6976
2025-06-26,3035,9213858,1700417667,188.0,189.0,182.0,182.5,-4.0,9074
2025-06-27,3035,14088603,2627840454,184.0,190.0,183.5,184.5,2.0,14459
2025-06-30,3035,5800222,1075293784,186.0,187.5,183.5,185.5,1.0,6943
2025-07-01,3035,7503603,1410768388,186.0,190.0,186.0,187.0,1.5,6306
2025-07-02,3035,6205881,1175353491,187.0,191.5,186.5,188.5,1.5,6139
2025-07-03,3035,12393969,2368893947,192.0,196.0,187.5,188.5,0.0,10770
2025-07-04,3035,6170801,1149407752,190.0,190.0,184.0,184.5,-4.0,5935
