date,stock_id,dividend_yield,PER,PBR
2024-07-12,3149,0.0,0.0,3.17
2024-07-15,3149,0.0,0.0,3.16
2024-07-16,3149,0.0,0.0,3.17
2024-07-17,3149,0.0,0.0,3.16
2024-07-18,3149,0.0,0.0,3.19
2024-07-19,3149,0.0,0.0,2.87
2024-07-22,3149,0.0,0.0,2.71
2024-07-23,3149,0.0,0.0,2.68
2024-07-26,3149,0.0,0.0,2.65
2024-07-29,3149,0.0,0.0,2.58
2024-07-30,3149,0.0,0.0,2.63
2024-07-31,3149,0.0,0.0,2.67
2024-08-01,3149,0.0,0.0,2.71
2024-08-02,3149,0.0,0.0,2.63
2024-08-05,3149,0.0,0.0,2.37
2024-08-06,3149,0.0,0.0,2.25
2024-08-07,3149,0.0,0.0,2.37
2024-08-08,3149,0.0,0.0,2.3
2024-08-09,3149,0.0,0.0,2.31
2024-08-12,3149,0.0,0.0,2.34
2024-08-13,3149,0.0,0.0,2.31
2024-08-14,3149,0.0,0.0,1.91
2024-08-15,3149,0.0,0.0,1.9
2024-08-16,3149,0.0,0.0,1.95
2024-08-19,3149,0.0,0.0,1.95
2024-08-20,3149,0.0,0.0,1.95
2024-08-21,3149,0.0,0.0,1.98
2024-08-22,3149,0.0,0.0,2.01
2024-08-23,3149,0.0,0.0,2.21
2024-08-26,3149,0.0,0.0,2.42
2024-08-27,3149,0.0,0.0,2.43
2024-08-28,3149,0.0,0.0,2.67
2024-08-29,3149,0.0,0.0,2.61
2024-08-30,3149,0.0,0.0,2.87
2024-09-02,3149,0.0,0.0,2.7
2024-09-03,3149,0.0,0.0,2.63
2024-09-04,3149,0.0,0.0,2.44
2024-09-05,3149,0.0,0.0,2.5
2024-09-06,3149,0.0,0.0,2.45
2024-09-09,3149,0.0,0.0,2.42
2024-09-10,3149,0.0,0.0,2.43
2024-09-11,3149,0.0,0.0,2.37
2024-09-12,3149,0.0,0.0,2.54
2024-09-13,3149,0.0,0.0,2.68
2024-09-16,3149,0.0,0.0,2.67
2024-09-18,3149,0.0,0.0,2.61
2024-09-19,3149,0.0,0.0,2.67
2024-09-20,3149,0.0,0.0,2.71
2024-09-23,3149,0.0,0.0,2.97
2024-09-24,3149,0.0,0.0,2.93
2024-09-25,3149,0.0,0.0,3.0
2024-09-26,3149,0.0,0.0,3.12
2024-09-27,3149,0.0,0.0,3.16
2024-09-30,3149,0.0,0.0,3.04
2024-10-01,3149,0.0,0.0,3.17
2024-10-04,3149,0.0,0.0,3.04
2024-10-07,3149,0.0,0.0,3.34
2024-10-08,3149,0.0,0.0,3.33
2024-10-09,3149,0.0,0.0,3.66
2024-10-11,3149,0.0,0.0,3.51
2024-10-14,3149,0.0,0.0,3.86
2024-10-15,3149,0.0,0.0,3.84
2024-10-16,3149,0.0,0.0,3.95
2024-10-17,3149,0.0,0.0,3.99
2024-10-18,3149,0.0,0.0,3.74
2024-10-21,3149,0.0,0.0,3.87
2024-10-22,3149,0.0,0.0,3.85
2024-10-23,3149,0.0,0.0,3.86
2024-10-24,3149,0.0,0.0,3.66
2024-10-25,3149,0.0,0.0,3.58
2024-10-28,3149,0.0,0.0,3.43
2024-10-29,3149,0.0,0.0,3.41
2024-10-30,3149,0.0,0.0,3.38
2024-11-01,3149,0.0,0.0,3.38
2024-11-04,3149,0.0,0.0,3.3
2024-11-05,3149,0.0,0.0,3.4
2024-11-06,3149,0.0,0.0,3.4
2024-11-07,3149,0.0,0.0,3.45
2024-11-08,3149,0.0,0.0,3.34
2024-11-11,3149,0.0,0.0,3.16
2024-11-12,3149,0.0,0.0,3.2
2024-11-13,3149,0.0,0.0,3.17
2024-11-14,3149,0.0,0.0,3.22
2024-11-15,3149,0.0,0.0,3.14
2024-11-18,3149,0.0,0.0,2.97
2024-11-19,3149,0.0,0.0,3.04
2024-11-20,3149,0.0,0.0,3.02
2024-11-21,3149,0.0,0.0,2.98
2024-11-22,3149,0.0,0.0,3.12
2024-11-25,3149,0.0,0.0,3.09
2024-11-26,3149,0.0,0.0,2.97
2024-11-27,3149,0.0,0.0,2.81
2024-11-28,3149,0.0,0.0,2.78
2024-11-29,3149,0.0,0.0,2.82
2024-12-02,3149,0.0,0.0,2.86
2024-12-03,3149,0.0,0.0,2.92
2024-12-04,3149,0.0,0.0,2.88
2024-12-05,3149,0.0,0.0,2.85
2024-12-06,3149,0.0,0.0,2.81
2024-12-09,3149,0.0,0.0,2.86
2024-12-10,3149,0.0,0.0,2.88
2024-12-11,3149,0.0,0.0,2.87
2024-12-12,3149,0.0,0.0,2.91
2024-12-13,3149,0.0,0.0,2.76
2024-12-16,3149,0.0,0.0,2.71
2024-12-17,3149,0.0,0.0,2.74
2024-12-18,3149,0.0,0.0,2.82
2024-12-19,3149,0.0,0.0,2.8
2024-12-20,3149,0.0,0.0,2.79
2024-12-23,3149,0.0,0.0,2.85
2024-12-24,3149,0.0,0.0,2.79
2024-12-25,3149,0.0,0.0,3.0
2024-12-26,3149,0.0,0.0,3.06
2024-12-27,3149,0.0,0.0,2.91
2024-12-30,3149,0.0,0.0,3.04
2024-12-31,3149,0.0,0.0,2.95
2025-01-02,3149,0.0,0.0,2.93
2025-01-03,3149,0.0,0.0,2.81
2025-01-06,3149,0.0,0.0,3.02
2025-01-07,3149,0.0,0.0,3.02
2025-01-08,3149,0.0,0.0,2.95
2025-01-09,3149,0.0,0.0,2.95
2025-01-10,3149,0.0,0.0,2.87
2025-01-13,3149,0.0,0.0,2.69
2025-01-14,3149,0.0,0.0,2.76
2025-01-15,3149,0.0,0.0,2.79
2025-01-16,3149,0.0,0.0,2.79
2025-01-17,3149,0.0,0.0,2.72
2025-01-20,3149,0.0,0.0,2.77
2025-01-21,3149,0.0,0.0,2.75
2025-01-22,3149,0.0,0.0,2.79
2025-02-03,3149,0.0,0.0,2.72
2025-02-04,3149,0.0,0.0,2.75
2025-02-05,3149,0.0,0.0,2.78
2025-02-06,3149,0.0,0.0,2.81
2025-02-07,3149,0.0,0.0,2.81
2025-02-10,3149,0.0,0.0,2.8
2025-02-11,3149,0.0,0.0,2.82
2025-02-12,3149,0.0,0.0,2.8
2025-02-13,3149,0.0,0.0,2.84
2025-02-14,3149,0.0,0.0,2.85
2025-02-17,3149,0.0,0.0,2.83
2025-02-18,3149,0.0,0.0,2.87
2025-02-19,3149,0.0,0.0,3.16
2025-02-20,3149,0.0,0.0,3.23
2025-02-21,3149,0.0,0.0,3.13
2025-02-24,3149,0.0,0.0,3.13
