date,stock_id,buy,name,sell,foreign,investment_trust,dealer,dealer_self,dealer_hedging
2024-10-29,1519,1000,Investment_Trust,648000,,,,,
2024-10-29,1519,87000,Dealer_self,101675,,,,,
2024-10-29,1519,26100,Dealer_Hedging,20600,,,,,
2024-10-30,1519,1182947,Foreign_Investor,765338,,,,,
2024-10-30,1519,10000,Investment_Trust,287600,,,,,
2024-10-30,1519,16000,Dealer_Hedging,16305,,,,,
2024-10-30,1519,0,Foreign_Dealer_Self,0,,,,,
2024-10-30,1519,22337,Dealer_self,18078,,,,,
2024-11-01,1519,1244789,Foreign_Investor,846048,,,,,
2024-11-01,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-01,1519,1000,Investment_Trust,10000,,,,,
2024-11-01,1519,3134,Dealer_self,7135,,,,,
2024-11-01,1519,13713,Dealer_Hedging,8087,,,,,
2024-11-04,1519,8217,Dealer_Hedging,5776,,,,,
2024-11-04,1519,8000,Dealer_self,8377,,,,,
2024-11-04,1519,0,Investment_Trust,55000,,,,,
2024-11-04,1519,1648233,Foreign_Investor,913585,,,,,
2024-11-04,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-05,1519,3605266,Foreign_Investor,1036082,,,,,
2024-11-05,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-05,1519,17000,Investment_Trust,0,,,,,
2024-11-05,1519,98327,Dealer_self,94000,,,,,
2024-11-05,1519,60640,Dealer_Hedging,24000,,,,,
2024-11-06,1519,8269,Dealer_Hedging,39972,,,,,
2024-11-06,1519,0,Investment_Trust,0,,,,,
2024-11-06,1519,13854,Dealer_self,14550,,,,,
2024-11-06,1519,968789,Foreign_Investor,1675600,,,,,
2024-11-06,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-07,1519,2679163,Foreign_Investor,1309600,,,,,
2024-11-07,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-07,1519,35000,Investment_Trust,300,,,,,
2024-11-07,1519,97851,Dealer_self,86742,,,,,
2024-11-07,1519,31189,Dealer_Hedging,11063,,,,,
2024-11-08,1519,1629783,Foreign_Investor,1138800,,,,,
2024-11-08,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-08,1519,36000,Investment_Trust,0,,,,,
2024-11-08,1519,54928,Dealer_self,41033,,,,,
2024-11-08,1519,35387,Dealer_Hedging,15410,,,,,
2024-11-11,1519,34103,Dealer_Hedging,33136,,,,,
2024-11-11,1519,542000,Investment_Trust,0,,,,,
2024-11-11,1519,135471,Dealer_self,107000,,,,,
2024-11-11,1519,2133350,Foreign_Investor,1272534,,,,,
2024-11-11,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-12,1519,3047707,Foreign_Investor,1819447,,,,,
2024-11-12,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-12,1519,505000,Investment_Trust,0,,,,,
2024-11-12,1519,196666,Dealer_self,124981,,,,,
2024-11-12,1519,54315,Dealer_Hedging,37355,,,,,
2024-11-13,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-13,1519,1017624,Foreign_Investor,2867050,,,,,
2024-11-13,1519,33020,Dealer_self,72427,,,,,
2024-11-13,1519,26296,Dealer_Hedging,59187,,,,,
2024-11-13,1519,77000,Investment_Trust,400,,,,,
2024-11-14,1519,57000,Investment_Trust,1000,,,,,
2024-11-14,1519,14868,Dealer_self,72528,,,,,
2024-11-14,1519,1515898,Foreign_Investor,1285000,,,,,
2024-11-14,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-14,1519,3559,Dealer_Hedging,14531,,,,,
2024-11-15,1519,3199,Dealer_Hedging,12341,,,,,
2024-11-15,1519,9000,Investment_Trust,1000,,,,,
2024-11-15,1519,3381,Dealer_self,16000,,,,,
2024-11-15,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-15,1519,1154198,Foreign_Investor,1034998,,,,,
2024-11-18,1519,1490407,Foreign_Investor,3152139,,,,,
2024-11-18,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-18,1519,13000,Investment_Trust,194000,,,,,
2024-11-18,1519,58846,Dealer_self,83832,,,,,
2024-11-18,1519,7000,Dealer_Hedging,25720,,,,,
2024-11-19,1519,11300,Dealer_Hedging,6964,,,,,
2024-11-19,1519,34895,Dealer_self,19139,,,,,
2024-11-19,1519,15229,Investment_Trust,35900,,,,,
2024-11-19,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-19,1519,809442,Foreign_Investor,746025,,,,,
2024-11-20,1519,829604,Foreign_Investor,1361563,,,,,
2024-11-20,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-20,1519,1007,Investment_Trust,112000,,,,,
2024-11-20,1519,89000,Dealer_self,100715,,,,,
2024-11-20,1519,11150,Dealer_Hedging,9417,,,,,
2024-11-21,1519,9291,Dealer_Hedging,7602,,,,,
2024-11-21,1519,2108,Dealer_self,5776,,,,,
2024-11-21,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-21,1519,752000,Foreign_Investor,981635,,,,,
2024-11-21,1519,1000,Investment_Trust,324000,,,,,
2024-11-22,1519,577636,Foreign_Investor,1804938,,,,,
2024-11-22,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-22,1519,9000,Investment_Trust,109000,,,,,
2024-11-22,1519,70000,Dealer_self,62412,,,,,
2024-11-22,1519,13066,Dealer_Hedging,8897,,,,,
2024-11-25,1519,11233,Dealer_Hedging,3937,,,,,
2024-11-25,1519,1664486,Foreign_Investor,1159341,,,,,
2024-11-25,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-25,1519,621,Investment_Trust,0,,,,,
2024-11-25,1519,38000,Dealer_self,22318,,,,,
2024-11-26,1519,1000,Investment_Trust,225,,,,,
2024-11-26,1519,20000,Dealer_self,23833,,,,,
2024-11-26,1519,458020,Foreign_Investor,804171,,,,,
2024-11-26,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-26,1519,11150,Dealer_Hedging,16315,,,,,
2024-11-27,1519,0,Dealer_Hedging,9194,,,,,
2024-11-27,1519,0,Investment_Trust,107,,,,,
2024-11-27,1519,15243,Dealer_self,30013,,,,,
2024-11-27,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-27,1519,592697,Foreign_Investor,583007,,,,,
2024-11-28,1519,838283,Foreign_Investor,1371800,,,,,
2024-11-28,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-28,1519,1000,Investment_Trust,13107,,,,,
2024-11-28,1519,56000,Dealer_self,61475,,,,,
2024-11-28,1519,16205,Dealer_Hedging,24290,,,,,
2024-11-29,1519,48591,Dealer_Hedging,30297,,,,,
2024-11-29,1519,34000,Dealer_self,36527,,,,,
2024-11-29,1519,0,Investment_Trust,85778,,,,,
2024-11-29,1519,0,Foreign_Dealer_Self,0,,,,,
2024-11-29,1519,991585,Foreign_Investor,1076271,,,,,
2024-12-02,1519,1067394,Foreign_Investor,668301,,,,,
2024-12-02,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-02,1519,150000,Investment_Trust,103,,,,,
2024-12-02,1519,22964,Dealer_self,9186,,,,,
2024-12-02,1519,27816,Dealer_Hedging,10243,,,,,
2024-12-03,1519,48175,Dealer_Hedging,21383,,,,,
2024-12-03,1519,38828,Dealer_self,33433,,,,,
2024-12-03,1519,122000,Investment_Trust,3300,,,,,
2024-12-03,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-03,1519,1987584,Foreign_Investor,925500,,,,,
2024-12-04,1519,665170,Foreign_Investor,2061600,,,,,
2024-12-04,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-04,1519,0,Investment_Trust,326099,,,,,
2024-12-04,1519,50101,Dealer_self,40511,,,,,
2024-12-04,1519,23400,Dealer_Hedging,43690,,,,,
2024-12-05,1519,10000,Dealer_Hedging,9215,,,,,
2024-12-05,1519,14029,Dealer_self,16619,,,,,
2024-12-05,1519,0,Investment_Trust,206107,,,,,
2024-12-05,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-05,1519,497626,Foreign_Investor,548964,,,,,
2024-12-06,1519,471939,Foreign_Investor,1073422,,,,,
2024-12-06,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-06,1519,0,Investment_Trust,0,,,,,
2024-12-06,1519,48901,Dealer_self,48846,,,,,
2024-12-06,1519,19838,Dealer_Hedging,12744,,,,,
2024-12-09,1519,19619,Dealer_Hedging,10381,,,,,
2024-12-09,1519,3450,Dealer_self,4177,,,,,
2024-12-09,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-09,1519,1051946,Foreign_Investor,564356,,,,,
2024-12-09,1519,0,Investment_Trust,19000,,,,,
2024-12-10,1519,550252,Foreign_Investor,887584,,,,,
2024-12-10,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-10,1519,0,Investment_Trust,0,,,,,
2024-12-10,1519,16000,Dealer_self,25510,,,,,
2024-12-10,1519,15000,Dealer_Hedging,23703,,,,,
2024-12-11,1519,516332,Foreign_Investor,1826000,,,,,
