date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-08-22,2317,54944456,11230285900,208.0,208.0,202.0,202.5,-3.5,75006
2025-08-25,2317,52074373,10794411131,207.0,208.0,206.0,207.5,5.0,36892
2025-08-26,2317,42252559,8781319005,207.0,209.0,206.0,209.0,1.5,31176
2025-08-27,2317,41852802,8721224257,210.0,210.0,207.5,208.0,-1.0,36106
2025-08-28,2317,48681221,10022449817,207.5,207.5,204.0,206.0,-2.0,34179
2025-08-29,2317,55250195,11287102203,206.0,207.0,202.5,203.5,-2.5,44100
2025-09-01,2317,70459817,14078205621,203.0,204.5,197.0,198.5,-5.0,71939
2025-09-02,2317,35779045,7156125061,200.0,203.5,198.0,198.5,0.0,34355
2025-09-03,2317,34371962,6872038310,198.5,201.0,197.0,200.5,2.0,27080
2025-09-04,2317,41864177,8521942683,203.0,205.0,202.0,203.0,2.5,31214
2025-09-05,2317,39235404,8029752712,205.5,206.5,203.0,205.0,2.0,28923
2025-09-08,2317,45711589,9334946908,206.0,207.5,202.0,203.5,-1.5,50746
2025-09-09,2317,64990917,13418391286,204.5,208.0,204.0,207.5,4.0,49854
2025-09-10,2317,86104648,18091486378,211.0,211.0,209.0,210.0,2.5,59270
2025-09-11,2317,133210297,28371439699,212.0,216.5,209.0,214.5,4.5,110323
2025-09-12,2317,74001120,16094789200,217.0,218.5,216.5,217.5,3.0,59880
2025-09-15,2317,56651315,12223562936,218.5,218.5,213.0,216.0,-1.5,75033
2025-09-16,2317,50810161,10921782120,217.0,217.0,213.5,215.5,-0.5,55352
2025-09-17,2317,57358177,12178164074,214.0,214.5,211.0,212.0,-3.5,55556
2025-09-18,2317,80554452,17094718551,211.5,216.0,208.0,215.0,3.0,58698
2025-09-19,2317,60640765,13043430662,216.5,217.0,214.0,214.0,-1.0,31511
2025-09-22,2317,34758075,7497072101,215.5,218.0,214.0,216.0,2.0,26738
2025-09-23,2317,106127922,23372213555,218.0,222.0,217.5,221.0,5.0,80860
2025-06-25,6116,3412071,24264946,7.17,7.19,7.04,7.04,-0.09,1220
2025-06-26,6116,7877867,56779137,7.05,7.3,7.05,7.16,0.12,2749
2025-06-27,6116,8512059,62697777,7.32,7.47,7.27,7.33,0.17,2937
2025-06-30,6116,5965284,43029747,7.47,7.47,7.11,7.12,-0.21,1842
2025-07-01,6116,3242526,23276983,7.13,7.23,7.12,7.17,0.05,1200
2025-07-02,6116,1633506,11646872,7.17,7.17,7.11,7.12,-0.05,711
2025-07-03,6116,4291041,31163770,7.12,7.33,7.12,7.27,0.15,1414
2025-07-04,6116,3545148,25559334,7.38,7.38,7.15,7.15,-0.12,1044
2025-07-07,6116,2693119,19080313,7.19,7.19,7.02,7.09,-0.06,837
2025-07-08,6116,2638044,18499317,7.08,7.09,6.97,7.02,-0.07,981
2025-07-09,6116,1687586,11826423,7.02,7.08,6.98,7.0,-0.02,705
2025-07-10,6116,4399154,30403438,7.0,7.0,6.85,6.87,-0.13,1659
2025-07-11,6116,2064814,14208933,6.89,6.94,6.81,6.92,0.05,887
2025-07-14,6116,1671602,11550149,6.91,6.96,6.87,6.9,-0.02,710
2025-07-15,6116,1912568,13192654,6.88,6.96,6.85,6.85,-0.05,847
2025-07-16,6116,4335494,29617551,6.83,6.91,6.79,6.79,-0.06,1884
2025-07-17,6116,4923293,33799186,6.81,6.92,6.79,6.92,0.13,1731
2025-07-18,6116,3359489,23300722,6.94,7.01,6.89,6.9,-0.02,1449
2025-07-21,6116,3477385,24094259,6.9,6.99,6.88,6.93,0.03,1279
2025-07-22,6116,7083087,47889126,6.95,6.95,6.66,6.69,-0.24,2597
2025-07-23,6116,7229064,49815709,6.69,6.99,6.68,6.96,0.27,2154
2025-07-24,6116,3502954,24372301,6.96,7.0,6.9,6.99,0.03,1176
2025-07-25,6116,7017658,49773640,6.99,7.16,6.98,7.12,0.13,2372
2025-07-28,6116,16601768,121903294,7.12,7.47,7.12,7.44,0.32,4243
2025-07-29,6116,8594479,63687825,7.46,7.58,7.28,7.29,-0.15,3273
2025-07-30,6116,5565927,40850104,7.29,7.42,7.21,7.39,0.1,1983
2025-07-31,6116,5248456,37937964,7.4,7.4,7.16,7.16,-0.23,2308
2025-08-01,6116,4084174,29005602,7.12,7.16,7.06,7.08,-0.08,1963
2025-08-04,6116,5934858,41078962,7.05,7.07,6.79,7.05,-0.03,2050
2025-08-05,6116,3658523,26062842,7.05,7.18,7.04,7.16,0.11,1374
2025-08-06,6116,4986356,36169512,7.15,7.34,7.11,7.24,0.08,1678
2025-08-07,6116,3092999,22176281,7.25,7.28,7.13,7.14,-0.1,1258
2025-08-08,6116,3291722,23503541,7.11,7.22,7.09,7.12,-0.02,1348
2025-08-11,6116,4044595,28993632,7.09,7.23,7.04,7.18,0.06,1242
2025-08-12,6116,9382394,68484685,7.18,7.35,7.18,7.26,0.08,2391
2025-08-13,6116,4569549,33312443,7.29,7.37,7.21,7.27,0.01,1640
2025-08-14,6116,4704083,34476676,7.28,7.39,7.28,7.31,0.04,1360
2025-08-15,6116,5959459,43941470,7.32,7.43,7.28,7.43,0.12,1972
2025-08-18,6116,11536062,87076432,7.41,7.66,7.4,7.55,0.12,4263
2025-08-19,6116,5858975,44344132,7.57,7.68,7.5,7.59,0.04,1878
2025-08-20,6116,6107290,45182504,7.59,7.59,7.32,7.35,-0.24,2437
2025-08-21,6116,12941960,99130475,7.37,7.82,7.37,7.7,0.35,3719
2025-08-22,6116,6356382,48301664,7.74,7.76,7.51,7.52,-0.18,2413
2025-08-25,6116,5320124,40713873,7.74,7.81,7.54,7.56,0.04,1658
2025-08-26,6116,5207290,39102739,7.56,7.66,7.42,7.5,-0.06,1867
2025-08-27,6116,5207310,39296650,7.47,7.6,7.45,7.52,0.02,1815
2025-08-28,6116,9145120,70021569,7.59,7.74,7.5,7.68,0.16,2472
2025-08-29,6116,5007244,38032394,7.7,7.76,7.54,7.58,-0.1,2212
2025-09-01,6116,5796283,43009762,7.58,7.58,7.33,7.38,-0.2,2045
2025-09-02,6116,3651040,26820301,7.4,7.52,7.26,7.28,-0.1,1468
2025-09-03,6116,8148241,58278288,7.22,7.26,7.1,7.13,-0.15,2602
2025-09-04,6116,5105050,37159424,7.21,7.34,7.2,7.34,0.21,1608
2025-09-05,6116,5334933,39354996,7.4,7.46,7.27,7.45,0.11,1565
2025-09-08,6116,8741822,66352662,7.45,7.75,7.45,7.61,0.16,2550
2025-09-09,6116,6666372,49973952,7.69,7.71,7.4,7.45,-0.16,2401
2025-09-10,6116,3845102,28395017,7.44,7.44,7.35,7.36,-0.09,1439
2025-09-11,6116,7007066,50541878,7.34,7.36,7.14,7.14,-0.22,2352
2025-09-12,6116,5026662,36756001,7.16,7.36,7.16,7.3,0.16,1749
2025-09-15,6116,2236858,16216704,7.3,7.36,7.2,7.23,-0.07,1123
2025-09-16,6116,2762283,19983800,7.21,7.28,7.18,7.25,0.02,1234
2025-09-17,6116,20106933,152319904,7.26,7.77,7.26,7.61,0.36,5162
2025-09-18,6116,19841512,155354941,7.66,7.98,7.61,7.9,0.29,5629
2025-09-19,6116,10718838,84377413,8.0,8.04,7.78,7.89,-0.01,3080
2025-09-22,6116,9581585,75740668,8.0,8.07,7.74,7.77,-0.12,3198
2025-09-23,6116,13721334,108991561,7.9,8.05,7.74,8.04,0.27,3982
2025-06-25,2492,516567,41563578,81.0,81.0,79.9,80.6,0.7,645
2025-06-26,2492,728011,59339897,80.6,82.3,80.6,81.2,0.6,746
2025-06-27,2492,1303094,107991307,81.8,84.0,81.6,82.3,1.1,1275
2025-06-30,2492,608152,49453742,82.3,82.3,80.7,81.3,-1.0,613
2025-07-01,2492,737057,60636267,81.6,82.9,81.6,81.7,0.4,637
2025-07-02,2492,436759,35848709,82.2,82.5,81.5,81.9,0.2,367
2025-07-03,2492,953529,79604395,82.8,84.0,82.5,83.5,1.6,916
2025-07-04,2492,706742,58287590,84.6,84.6,81.6,81.6,-1.9,676
2025-07-07,2492,522369,42470429,82.0,82.2,80.3,81.1,-0.5,648
2025-07-08,2492,1116176,89760995,81.5,81.5,79.9,80.3,-0.8,994
2025-07-09,2492,654186,51358521,78.0,79.0,77.9,78.7,0.0,628
2025-07-10,2492,611036,48221817,79.5,79.5,78.2,79.2,0.5,672
2025-07-11,2492,505226,40163309,79.5,79.9,78.7,79.6,0.4,565
2025-07-14,2492,497209,39274662,79.8,79.9,78.5,79.2,-0.4,495
2025-07-15,2492,752792,60131437,78.6,80.7,78.4,80.4,1.2,715
2025-07-16,2492,2377121,196426591,81.1,83.8,80.8,82.5,2.1,2054
2025-07-17,2492,1190745,99181508,82.5,84.0,82.2,84.0,1.5,1886
2025-07-18,2492,829269,69623458,84.4,84.7,83.5,83.9,-0.1,1043
2025-07-21,2492,1949766,167279860,83.9,87.3,83.9,86.6,2.7,2302
2025-07-22,2492,3942594,340458021,86.8,89.2,83.5,84.2,-2.4,5380
2025-07-23,2492,1648473,142129222,84.6,87.5,84.5,86.8,2.6,1994
2025-07-24,2492,798561,68600830,86.8,87.1,85.2,86.1,-0.7,1643
2025-07-25,2492,733951,62712192,85.8,86.3,85.0,85.1,-1.0,718
2025-07-28,2492,900147,77537394,86.0,86.7,84.7,86.0,0.9,822
2025-07-29,2492,1160786,100197316,85.8,87.7,85.5,85.5,-0.5,1041
2025-07-30,2492,736318,63359351,86.4,86.6,85.1,86.3,0.8,1025
2025-07-31,2492,912360,77739751,86.0,86.7,84.6,84.9,-1.4,1130
2025-08-01,2492,1438135,122960230,83.5,87.2,82.3,85.4,0.5,1423
2025-08-04,2492,687351,58143788,84.4,85.6,83.5,85.0,-0.4,1551
2025-08-05,2492,1824368,158761768,85.7,88.2,85.7,86.7,1.7,1702
2025-08-06,2492,870676,75112929,87.0,87.2,85.8,85.8,-0.9,1134
2025-08-07,2492,900877,77328700,86.9,86.9,85.0,85.0,-0.8,1388
2025-08-08,2492,3606370,294964276,83.6,83.6,81.1,81.2,-3.8,3030
2025-08-11,2492,896907,72322295,81.0,81.4,79.9,80.5,-0.7,1056
2025-08-12,2492,762797,61422036,80.5,81.1,80.2,80.3,-0.2,812
2025-08-13,2492,1125946,91557150,80.9,82.1,80.4,81.0,0.7,1197
2025-08-14,2492,766331,62142940,81.1,81.7,80.8,80.8,-0.2,1103
2025-08-15,2492,1082497,86941799,80.8,81.1,79.9,80.8,0.0,987
2025-08-18,2492,1187567,96991602,80.6,82.5,80.2,81.6,0.8,1414
2025-08-19,2492,637474,51769128,81.4,82.0,80.9,80.9,-0.7,757
2025-08-20,2492,1310489,104348122,80.8,81.2,79.0,79.3,-1.6,1266
2025-08-21,2492,985127,79802777,80.1,81.9,80.0,81.2,1.9,826
2025-08-22,2492,771866,62679177,81.5,81.8,80.5,81.8,0.6,1047
2025-08-25,2492,1159744,95425791,81.9,83.3,81.7,81.9,0.1,1844
2025-08-26,2492,704303,57332412,81.6,81.9,81.1,81.1,-0.8,1299
2025-08-27,2492,767654,62680781,81.1,82.0,81.1,81.6,0.5,630
2025-08-28,2492,1007577,82745604,82.1,82.7,81.5,81.8,0.2,922
2025-08-29,2492,658647,54247115,82.8,82.9,81.7,82.4,0.6,1064
2025-09-01,2492,1583140,127578725,82.4,82.5,79.6,80.1,-2.3,1824
2025-09-02,2492,745605,59816762,81.4,81.5,79.2,79.5,-0.6,704
2025-09-03,2492,1023610,81189223,79.5,80.0,79.0,79.0,-0.5,1060
2025-09-04,2492,922330,73685921,79.5,80.5,79.2,79.7,0.7,739
2025-09-05,2492,706061,56581242,80.7,80.7,79.4,80.5,0.8,1112
2025-09-08,2492,863209,70298002,80.5,82.3,80.5,81.3,0.8,1073
2025-09-09,2492,667063,54494411,81.8,82.5,81.1,81.7,0.4,1606
2025-09-10,2492,906596,73773955,81.5,81.9,80.6,81.6,-0.1,1201
2025-09-11,2492,838531,67671708,81.5,81.5,80.0,80.0,-1.6,882
2025-09-12,2492,6301293,529887884,81.4,85.5,80.5,84.1,4.1,5124
2025-09-15,2492,1940342,160242774,83.1,83.7,81.6,82.3,-1.8,4489
2025-09-16,2492,2324822,194258890,83.1,84.4,82.7,84.3,2.0,2214
2025-09-17,2492,4553720,389458359,84.9,86.9,84.4,84.6,0.3,4323
2025-09-18,2492,2818403,242476172,85.2,87.0,84.6,87.0,2.4,4464
2025-09-19,2492,9626416,891931096,87.8,95.7,86.6,95.7,8.7,7809
2025-09-22,2492,21801566,2260698580,100.0,105.0,99.6,105.0,9.3,11525
2025-09-23,2492,26669398,2709059937,105.0,105.0,98.8,99.9,-5.1,16100
2025-06-25,2855,1731785,38039961,21.9,22.1,21.85,22.05,0.25,981
2025-06-26,2855,2195237,48929504,22.2,22.45,22.1,22.25,0.2,1170
2025-06-27,2855,3070565,69308315,22.3,22.75,22.3,22.75,0.5,1471
2025-06-30,2855,2615671,59309031,22.75,22.85,22.55,22.55,-0.2,1338
2025-07-01,2855,9494538,216110318,22.5,23.1,22.5,22.85,0.3,2609
2025-07-02,2855,3032073,69360540,22.85,23.1,22.7,22.85,0.0,1498
2025-07-03,2855,4101596,94281804,22.95,23.05,22.8,22.95,0.1,1425
2025-07-04,2855,5939148,134756835,22.9,22.95,22.55,22.6,-0.35,2623
2025-07-07,2855,6666922,150679181,22.6,22.7,22.4,22.6,0.0,2524
2025-07-08,2855,11991306,232938170,19.65,19.65,18.9,19.0,0.0,4511
