date,stock_id,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsProvidedFromFinancingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,DecreaseInDepositDeposit,DecreaseInShortTermLoans,Depreciation,InterestExpense,InterestIncome,InventoryIncrease,OtherInvestingActivities,OtherNonCurrentLiabilitiesIncrease,PayTheInterest,ProceedsFromLongTermDebt,PropertyAndPlantAndEquipment,ReceivableIncrease,RedemptionOfBonds,RentalPrincipalRepayments,RepaymentOfLongTermDebt,TotalIncomeLossItems
2024-09-30,6515,,,,,-1050772000.0,,,,,,,,,,,,,,,,,
2024-12-31,6515,,,,,-1084460000.0,,,,,,,,,,,,,,,,,
2025-03-31,6515,,,,,,,,,61213000.0,,,,,,,,,,,,,
2025-06-30,6515,,,,,,,,,122067000.0,,,,,,,,,,,,,
2023-09-30,6719,,,-2468229000.0,,,,,,,,,,,,,,,,,,,
2023-12-31,6719,,1214863000.0,,,,,,,,,,,,,,,,,,,,
2024-03-31,6719,,,,32506000.0,,,,,,,,,,,,,,,,,,
2024-06-30,6719,,1857262000.0,,,,,,,,,,,,,,,,,,,,
2024-09-30,6719,,2345163000.0,,,,,,,,,,,,,,,,,,,,
2024-12-31,6719,,1346612000.0,,,,,,,,,,,,,,,,,,,,
2025-03-31,6719,,1516673000.0,,,,,,,,,,,,,,,,,,,,
2025-06-30,6719,,,,16449000.0,,,,,,,,,,,,,,,,,,
2023-09-30,6768,,,,,,,,,,,,,,160971000.0,,,,,,,,
2023-12-31,6768,,,,,,,,-3590775000.0,,,,,,,,,,,,,,
2024-03-31,6768,,,,,,,,,169993000.0,,,,,,,,,,,,,
2024-06-30,6768,,,,,,,,,339088000.0,,,,,,,,,,,,,
2024-09-30,6768,,,,,574139000.0,,,,,,,,,,,,,,,,,
2024-12-31,6768,,,,,,,,,664533000.0,,,,,,,,,,,,,
2025-03-31,6768,,,,,-565271000.0,,,,,,,,,,,,,,,,,
2025-06-30,6768,,,,,-1105019000.0,,,,,,,,,,,,,,,,,
2023-09-30,6770,,,,,,,,,,,,,,-29653000.0,,,,,,,,
2023-12-31,6770,,,,,,,,0.0,,,,,,,,,,,,,,
2024-03-31,6770,,,,,,,,,2028112000.0,,,,,,,,,,,,,
2024-06-30,6770,,,,,,,,,4246969000.0,,,,,,,,,,,,,
2024-09-30,6770,,,,,,,,,6867888000.0,,,,,,,,,,,,,
2024-12-31,6770,,,,,,,,,9566047000.0,,,,,,,,,,,,,
2025-03-31,6770,,,,,,,,,2765022000.0,,,,,,,,,,,,,
2025-06-30,6770,,,,,,,,,5554278000.0,,,,,,,,,,,,,
2023-09-30,8046,,,-9598907000.0,,,,,,,,,,,,,,,,,,,
2023-12-31,8046,,12329798000.0,,,,,,,,,,,,,,,,,,,,
2024-03-31,8046,,,,,,,,,,,,,,,,,,,,,,1417667000.0
2024-06-30,8046,,,,,,,,,,,,,,,,,,,,,,3019267000.0
2024-09-30,8046,,,,,,,,,,,,,,,,,,,,,,4744690000.0
2024-12-31,8046,,,,,,,,,,,,,,,,,,,,,,6092902000.0
2025-03-31,8046,,,,,,,,,,,,,,,,,,,,,,1549794000.0
2025-06-30,8046,,,,,,,,,,,,,,,,,,,,,,3500327000.0
2023-09-30,8105,,,,,,,,,,,,,,,,,,315916000.0,,,,
2023-12-31,8105,,,,,,,,,,,,,,,,,,,,,,366126000.0
2024-03-31,8105,,,,,,,,,91041000.0,,,,,,,,,,,,,
2024-06-30,8105,,,,,-154695000.0,,,,,,,,,,,,,,,,,
2024-09-30,8105,,,,,-189335000.0,,,,,,,,,,,,,,,,,
2024-12-31,8105,,,,,,,,,372979000.0,,,,,,,,,,,,,
2025-03-31,8105,,,,,,,,,97376000.0,,,,,,,,,,,,,
2025-06-30,8105,,,,,-92737000.0,,,,,,,,,,,,,,,,,
2023-09-30,9955,185797000.0,,,,,,,,,,,,,,,,,,,,,
2023-12-31,9955,185797000.0,,,,,,,,,,,,,,,,,,,,,
2024-03-31,9955,,,,,,,,,16630000.0,,,,,,,,,,,,,
2024-06-30,9955,,,,,-74318000.0,,,,,,,,,,,,,,,,,
2024-09-30,9955,,,2967000.0,,,,,,,,,,,,,,,,,,,
2024-12-31,9955,,,,,,,,,66817000.0,,,,,,,,,,,,,
2025-03-31,9955,,,,,,,,,16604000.0,,,,,,,,,,,,,
2025-06-30,9955,,,,,,,,,32976000.0,,,,,,,,,,,,,
