date,stock_id,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsProvidedFromFinancingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,DecreaseInDepositDeposit,DecreaseInShortTermLoans,Depreciation,InterestExpense,InterestIncome,InventoryIncrease,OtherInvestingActivities,OtherNonCurrentLiabilitiesIncrease,PayTheInterest,ProceedsFromLongTermDebt,PropertyAndPlantAndEquipment,ReceivableIncrease,RedemptionOfBonds,RentalPrincipalRepayments,RepaymentOfLongTermDebt,TotalIncomeLossItems
2024-09-30,1419,,,,,,,,,,,,,,,,,-38224000.0,,,,,
2024-12-31,1419,,,,,,,,,158084000.0,,,,,,,,,,,,,
2025-03-31,1419,,,,,,,,,41008000.0,,,,,,,,,,,,,
2025-06-30,1419,,,,,,,,,,,,,,,,,-33879000.0,,,,,
2023-09-30,1504,,,,,,,,,,,,,-29425000.0,,,,,,,,,
2023-12-31,1504,,,,,,,,,,,-619223000.0,,,,,,,,,,,
2024-03-31,1504,,,,360367000.0,,,,,,,,,,,,,,,,,,
2024-06-30,1504,23640536000.0,,,,,,,,,,,,,,,,,,,,,
2024-09-30,1504,,,,-3173354000.0,,,,,,,,,,,,,,,,,,
2024-12-31,1504,,,2414751000.0,,,,,,,,,,,,,,,,,,,
2025-03-31,1504,,,,950143000.0,,,,,,,,,,,,,,,,,,
2025-06-30,1504,26055287000.0,,,,,,,,,,,,,,,,,,,,,
2023-09-30,1560,1129701000.0,,,,,,,,,,,,,,,,,,,,,
2023-12-31,1560,1129701000.0,,,,,,,,,,,,,,,,,,,,,
2024-03-31,1560,,,,,,,,,138822000.0,,,,,,,,,,,,,
2024-06-30,1560,,,,,,,,,279865000.0,,,,,,,,,,,,,
2024-09-30,1560,,,,,-246447000.0,,,,,,,,,,,,,,,,,
2024-12-31,1560,,,,,-462376000.0,,,,,,,,,,,,,,,,,
2025-03-31,1560,,,,,,,,,141006000.0,,,,,,,,,,,,,
2025-06-30,1560,,,,,-1146689000.0,,,,,,,,,,,,,,,,,
2023-09-30,1603,,,53008000.0,,,,,,,,,,,,,,,,,,,
2023-12-31,1603,,,,,,,,,,33635000.0,,,,,,,,,,,,
2024-03-31,1603,,,,-20108000.0,,,,,,,,,,,,,,,,,,
2024-06-30,1603,,127648000.0,,,,,,,,,,,,,,,,,,,,
2024-09-30,1603,,149893000.0,,,,,,,,,,,,,,,,,,,,
2024-12-31,1603,,,,-317483000.0,,,,,,,,,,,,,,,,,,
2025-03-31,1603,,,,396003000.0,,,,,,,,,,,,,,,,,,
2025-06-30,1603,,207192000.0,,,,,,,,,,,,,,,,,,,,
2023-09-30,1605,,,,,,,,,,,,,,,,,,-2600840000.0,,,,
2023-12-31,1605,,,,,,,,,,,,,,,,,,,,,-22027953000.0,
2024-03-31,1605,16347012000.0,,,,,,,,,,,,,,,,,,,,,
2024-06-30,1605,,12104590000.0,,,,,,,,,,,,,,,,,,,,
2024-09-30,1605,,,,,,,,,6143952000.0,,,,,,,,,,,,,
2024-12-31,1605,,,,,,,,,,,,,,,,,,,-103182000.0,,,
2025-03-31,1605,,,,,,,,,1873416000.0,,,,,,,,,,,,,
2025-06-30,1605,,15259456000.0,,,,,,,,,,,,,,,,,,,,
2023-09-30,1721,,,,,,,,,,,,,,,,,-61225000.0,,,,,
2023-12-31,1721,,,,,,,,,,,,,,,,492633000.0,,,,,,
2024-03-31,1721,,,,,,,,,60590000.0,,,,,,,,,,,,,
2024-06-30,1721,,,,,,,,,120630000.0,,,,,,,,,,,,,
2024-09-30,1721,,,,,,,,,180077000.0,,,,,,,,,,,,,
2024-12-31,1721,,,,,,,,,238747000.0,,,,,,,,,,,,,
2025-03-31,1721,,,,,,,,,57494000.0,,,,,,,,,,,,,
2025-06-30,1721,,,,,,,,,114595000.0,,,,,,,,,,,,,
2023-09-30,2023,,,,,,,,,,,,,,469000.0,,,,,,,,
2023-12-31,2023,,,,,,,,,,,,,,,,7339507000.0,,,,,,
2024-03-31,2023,,,,,-411483000.0,,,,,,,,,,,,,,,,,
2024-06-30,2023,,,,,-107465000.0,,,,,,,,,,,,,,,,,
2024-09-30,2023,,,-122334000.0,,,,,,,,,,,,,,,,,,,
2024-12-31,2023,,,,,-1468362000.0,,,,,,,,,,,,,,,,,
2025-03-31,2023,,,,,,,,,582305000.0,,,,,,,,,,,,,
2025-06-30,2023,,,,,-1345371000.0,,,,,,,,,,,,,,,,,
2023-09-30,2033,80171000.0,,,,,,,,,,,,,,,,,,,,,
2023-12-31,2033,,,,,,,,,,,-241000.0,,,,,,,,,,,
2024-03-31,2033,,89301000.0,,,,,,,,,,,,,,,,,,,,
2024-06-30,2033,,67585000.0,,,,,,,,,,,,,,,,,,,,
2024-09-30,2033,,,,,,,,,,,,,,,,,,,,,,14265000.0
2024-12-31,2033,,,,,,,,,,,,,,,,,,,,,,19106000.0
2025-03-31,2033,,,,,,,,,,,,,,,,,,,,,,5602000.0
2025-06-30,2033,,,,,,,,,,,,,,,,,,,,,,11318000.0
2023-09-30,2239,,,-37501000.0,,,,,,,,,,,,,,,,,,,
2023-12-31,2239,,,,,,,,,,,,,,,,,,,,-138616000.0,,
2024-03-31,2239,,,,,,,,,440379000.0,,,,,,,,,,,,,
2024-06-30,2239,,,,,,,,,890070000.0,,,,,,,,,,,,,
2024-09-30,2239,,,,,,,,,1345255000.0,,,,,,,,,,,,,
2024-12-31,2239,,5243499000.0,,,,,,,,,,,,,,,,,,,,
2025-03-31,2239,,,,,245821000.0,,,,,,,,,,,,,,,,,
2025-06-30,2239,,,,,-164589000.0,,,,,,,,,,,,,,,,,
2023-09-30,2241,,,,,,,,,,,,,,,,,-54674000.0,,,,,
2023-12-31,2241,198867000.0,,,,,,,,,,,,,,,,,,,,,
2024-03-31,2241,,,,,,,,,,,,,,,-3690000.0,,,,,,,
2024-06-30,2241,,,,,-55045000.0,,,,,,,,,,,,,,,,,
2024-09-30,2241,,,,,-64965000.0,,,,,,,,,,,,,,,,,
2024-12-31,2241,,,,,-64495000.0,,,,,,,,,,,,,,,,,
2025-03-31,2241,,,,,-1550000.0,,,,,,,,,,,,,,,,,
2025-06-30,2241,,,,,,,,,50302000.0,,,,,,,,,,,,,
2023-09-30,2301,,,,,,,,,,,,,,73636000.0,,,,,,,,
2023-12-31,2301,,,,,,,,,,,,,,,,,,,,,,1524257000.0
2024-03-31,2301,,,-7907199000.0,,,,,,,,,,,,,,,,,,,
2024-06-30,2301,,,3984320000.0,,,,,,,,,,,,,,,,,,,
2024-09-30,2301,,,6276998000.0,,,,,,,,,,,,,,,,,,,
2024-12-31,2301,,,,-3362827000.0,,,,,,,,,,,,,,,,,,
