date,stock_id,-,BadDebts,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent,Expense,GrossProfit,Income,IncomeAfterTax,IncomeAfterTaxes,IncomeBeforeTaxFromContinuingOperations,IncomeFromContinuingOperations,IncomeLossFromDiscontinuedOperation,NetChangeInProvisionsForInsuranceLiabilities,NetInterestIncome,NetNonInterestIncome,NoncontrollingInterests,OTHNOE,OperatingExpenses,OperatingIncome,OtherComprehensiveIncome,OtherComprehensiveIncomeAfterTax,OtherComprehensiveIncomeAfterTaxThePeriod,PreTaxIncome,RealizedGain,Revenue,TAX,TotalConsolidatedProfitForThePeriod,TotalNonbusinessIncome,TotalNonoperatingIncomeAndExpense,UnrealizedGain
2024-06-30,1504,,,126641000.0,10858403000.0,0.78,1646951000.0,,3667524000.0,,,1761411000.0,,1761411000.0,,,,,114460000.0,,2054896000.0,1612379000.0,1071508000.0,,,2300146000.0,0.0,14525927000.0,538735000.0,2832919000.0,,687767000.0,249000.0
2024-09-30,1504,,,96836000.0,9964470000.0,0.84,1770005000.0,,3492874000.0,,,1903328000.0,,1903328000.0,,,,,133323000.0,,1861390000.0,1632720000.0,179804000.0,,,2380982000.0,0.0,13457344000.0,477654000.0,2083132000.0,,748262000.0,-1236000.0
2024-12-31,1504,,,96652000.0,10099158000.0,0.56,1191542000.0,,3422719000.0,,,1299585000.0,,1299585000.0,,,,,108043000.0,,2069511000.0,1352461000.0,-4701166000.0,,,1628820000.0,0.0,13521877000.0,329235000.0,-3401581000.0,,276359000.0,747000.0
2025-03-31,1504,,,49565000.0,10326432000.0,0.54,1147310000.0,,3290734000.0,,,1203087000.0,,1203087000.0,,,,,55777000.0,,2108882000.0,1183840000.0,546497000.0,,,1642916000.0,10953000.0,13617166000.0,439829000.0,1749584000.0,,459076000.0,8965000.0
2025-06-30,1504,,,39444000.0,11939636000.0,0.69,1448762000.0,,3664334000.0,,,1580630000.0,,1580630000.0,,,,,131868000.0,,2183723000.0,1478103000.0,-4923833000.0,,,1917104000.0,0.0,15603970000.0,336474000.0,-3343203000.0,,439001000.0,2508000.0
2023-09-30,1560,,,4497000.0,1120771000.0,2.02,292100000.0,,528119000.0,,,296501000.0,,296501000.0,,,,,4401000.0,,248188000.0,279931000.0,-35832000.0,,,371938000.0,,1648890000.0,75437000.0,260669000.0,,92007000.0,
2023-12-31,1560,,,7360000.0,1084300000.0,1.11,159960000.0,,510141000.0,,,160785000.0,,160785000.0,,,,,825000.0,,236747000.0,273394000.0,70868000.0,,,201709000.0,,1594441000.0,40924000.0,231653000.0,,-71685000.0,
2024-03-31,1560,,,6612000.0,1078936000.0,1.77,256690000.0,,516242000.0,,,269305000.0,,269305000.0,,,,,12615000.0,,254895000.0,261347000.0,-18028000.0,,,321223000.0,,1595178000.0,51918000.0,251277000.0,,59876000.0,
2024-06-30,1560,,,6932000.0,1184432000.0,1.75,253669000.0,,546682000.0,,,259652000.0,,259652000.0,,,,,5983000.0,,252490000.0,294192000.0,-9058000.0,,,333422000.0,,1731114000.0,73770000.0,250594000.0,,39230000.0,
2024-09-30,1560,,,34996000.0,1300380000.0,1.96,285349000.0,,558809000.0,,,284480000.0,,284480000.0,,,,,-869000.0,,253353000.0,305456000.0,94611000.0,,,326712000.0,,1859189000.0,42232000.0,379091000.0,,21256000.0,
