stock_id,stock_name,industry_category,type,date
8008,建興電,電腦及週邊設備業,twse,2024-12-04
8011,台通,通信網路業,twse,2025-09-24
8016,矽創,半導體業,twse,2025-09-24
8021,尖點,其他電子業,twse,2025-09-24
8024,佑華,半導體業,tpex,2025-09-24
8027,鈦昇,電機機械,tpex,2025-09-24
8028,昇陽半導體,半導體業,twse,2025-09-24
8032,光菱,電子通路業,tpex,2025-09-24
8033,雷虎,其他,twse,2025-09-24
8034,榮群,通信網路業,tpex,2025-09-24
8038,長園科,電子零組件業,tpex,2025-09-24
8039,台虹,電子零組件業,twse,2025-09-24
8040,九暘,半導體業,tpex,2025-09-24
8041,東元精電,電機機械,emerging,2024-08-22
8042,金山電,電子零組件業,tpex,2025-09-24
8043,蜜望實,電子零組件業,tpex,2025-09-24
8044,網家,數位雲端類,tpex,2025-09-24
8045,達運光電,通信網路業,twse,2025-09-24
8046,南電,電子工業,twse,2025-09-24
8047,星雲,其他電子類,tpex,2025-09-24
8048,德勝,通信網路業,tpex,2025-09-24
8049,晶采,光電業,tpex,2025-09-24
8050,廣積,電腦及週邊設備業,tpex,2025-09-24
8054,安國,半導體業,tpex,2025-09-24
8058,耐特,其他電子業,emerging,2025-09-24
8059,凱碩,通信網路業,tpex,2025-09-24
8064,東捷,光電業,tpex,2025-09-24
8066,來思達,居家生活類,tpex,2025-09-24
8067,志旭,電子通路業,tpex,2025-09-24
8068,全達,電子通路業,tpex,2025-09-24
8069,元太,光電業,tpex,2025-09-24
8070,長華*,電子工業,twse,2025-09-24
8071,能率網通,電子零組件業,tpex,2025-09-24
8072,陞泰,電子工業,twse,2025-09-24
8074,鉅橡,電子零組件業,tpex,2025-09-24
8076,伍豐,電腦及週邊設備業,tpex,2025-09-24
8077,洛碁,觀光餐旅,tpex,2025-09-24
8078,華寶,通信網路業,twse,2024-12-04
8080,泰霖,建材營造,tpex,2025-09-24
8081,致新,半導體業,twse,2025-09-24
8083,瑞穎,電機機械,tpex,2025-09-24
8084,巨虹,電子通路業,tpex,2025-09-24
8085,福華,其他電子類,tpex,2025-09-24
8086,宏捷科,半導體業,tpex,2025-09-24
8087,麗升能源,綠能環保類,tpex,2025-09-24
8088,品安,半導體業,tpex,2025-09-24
8089,康全電訊,通信網路業,tpex,2025-09-24
8091,翔名,半導體業,tpex,2025-09-24
8092,建暐,其他電子類,tpex,2025-09-24
8093,保銳,電子零組件業,tpex,2025-09-24
8096,擎亞,電子通路業,tpex,2025-09-24
8097,常珵,通信網路業,tpex,2025-09-24
8098,慶康科技,半導體業,emerging,2025-09-24
8099,大世科,資訊服務業,tpex,2025-09-24
8101,華冠,通信網路業,twse,2025-09-24
8102,傑霖科技,半導體業,emerging,2025-09-24
8103,瀚荃,電子工業,twse,2025-09-24
8104,錸寶,光電業,twse,2025-09-24
8105,凌巨,光電業,twse,2025-09-24
8107,大億金茂,電機機械,tpex,2025-09-24
8109,博大,電子零組件業,tpex,2025-09-24
8110,華東,半導體業,twse,2025-09-24
8111,立碁,光電業,tpex,2025-09-24
8112,至上,電子通路業,twse,2025-09-24
8112A,至上甲特,電子通路業,twse,2025-09-24
8114,振樺電,電腦及週邊設備業,twse,2025-09-24
8119,公信,電腦及週邊設備業,emerging,2025-09-24
8121,越峰,電子零組件業,tpex,2025-09-24
8131,福懋科,半導體業,twse,2025-09-24
8147,正淩,電子零組件業,tpex,2025-09-24
8150,南茂,半導體業,twse,2025-09-24
8155,博智,電子零組件業,tpex,2025-09-24
8162,微矽電子-創,創新板股票,twse,2025-09-24
8163,達方,電子工業,twse,2025-09-24
8171,天宇,綠能環保類,tpex,2025-09-24
8176,智捷,通信網路業,tpex,2025-09-24
8182,加高,電子零組件業,tpex,2025-09-24
8183,精星,其他電子類,tpex,2025-09-24
8199,廣鎵,光電業,twse,2024-12-04
8201,無敵,其他電子業,twse,2025-09-24
8210,勤誠,電子工業,twse,2025-09-24
8213,志超,電子工業,twse,2025-09-24
8215,明基材,光電業,twse,2025-09-24
8222,寶一,電機機械,twse,2025-09-24
8227,巨有科技,半導體業,tpex,2025-09-24
8234,新漢,電腦及週邊設備業,tpex,2025-09-24
8240,華宏,光電業,tpex,2025-09-24
8249,菱光,電子工業,twse,2025-09-24
8255,朋程,電機機械,tpex,2025-09-24
