price,stock_id,date
50655.05,TAIEX,2025-01-03
52068.92,TAIEX,2025-01-06
52297.92,TAIEX,2025-01-07
51758.5,TAIEX,2025-01-08
51037.21,TAIEX,2025-01-09
50884.04,TAIEX,2025-01-10
49726.4,TAIEX,2025-01-13
50410.09,TAIEX,2025-01-14
49784.43,TAIEX,2025-01-15
50913.3,TAIEX,2025-01-16
51185.24,TAIEX,2025-01-17
51447.8,TAIEX,2025-01-20
51521.48,TAIEX,2025-01-21
52019.89,TAIEX,2025-01-22
50183.03,TAIEX,2025-02-03
50402.49,TAIEX,2025-02-04
51215.38,TAIEX,2025-02-05
51558.16,TAIEX,2025-02-06
51915.65,TAIEX,2025-02-07
51415.63,TAIEX,2025-02-10
51707.3,TAIEX,2025-02-11
51498.78,TAIEX,2025-02-12
51741.27,TAIEX,2025-02-13
51195.54,TAIEX,2025-02-14
51975.47,TAIEX,2025-02-17
52331.01,TAIEX,2025-02-18
52193.85,TAIEX,2025-02-19
51935.96,TAIEX,2025-02-20
52472.84,TAIEX,2025-02-21
52108.12,TAIEX,2025-02-24
51489.87,TAIEX,2025-02-25
51748.22,TAIEX,2025-02-26
50975.67,TAIEX,2025-02-27
50319.09,TAIEX,2025-03-03
49966.71,TAIEX,2025-03-04
50574.84,TAIEX,2025-03-05
50228.85,TAIEX,2025-03-06
49920.68,TAIEX,2025-03-07
49662.16,TAIEX,2025-03-10
48804.06,TAIEX,2025-03-11
49262.37,TAIEX,2025-03-12
48563.54,TAIEX,2025-03-13
48577.62,TAIEX,2025-03-14
48910.7,TAIEX,2025-03-17
49330.94,TAIEX,2025-03-18
48642.44,TAIEX,2025-03-19
49577.9,TAIEX,2025-03-20
49206.44,TAIEX,2025-03-21
48979.66,TAIEX,2025-03-24
49349.28,TAIEX,2025-03-25
49321.23,TAIEX,2025-03-26
48649.66,TAIEX,2025-03-27
47876.79,TAIEX,2025-03-28
45866.82,TAIEX,2025-03-31
47166.3,TAIEX,2025-04-01
47206.32,TAIEX,2025-04-02
42627.45,TAIEX,2025-04-07
40915.49,TAIEX,2025-04-08
38547.9,TAIEX,2025-04-09
42114.04,TAIEX,2025-04-10
43286.58,TAIEX,2025-04-11
43251.81,TAIEX,2025-04-14
44015.61,TAIEX,2025-04-15
43151.88,TAIEX,2025-04-16
42868.63,TAIEX,2025-04-17
42993.52,TAIEX,2025-04-18
42353.26,TAIEX,2025-04-21
41659.94,TAIEX,2025-04-22
43534.64,TAIEX,2025-04-23
43181.51,TAIEX,2025-04-24
44054.94,TAIEX,2025-04-25
44413.35,TAIEX,2025-04-28
44852.79,TAIEX,2025-04-29
44858.1,TAIEX,2025-04-30
46083.15,TAIEX,2025-05-02
45518.63,TAIEX,2025-05-05
45495.58,TAIEX,2025-05-06
45548.57,TAIEX,2025-05-07
45541.7,TAIEX,2025-05-08
46365.58,TAIEX,2025-05-09
46841.1,TAIEX,2025-05-12
47285.85,TAIEX,2025-05-13
48289.47,TAIEX,2025-05-14
48172.83,TAIEX,2025-05-15
48424.31,TAIEX,2025-05-16
47715.23,TAIEX,2025-05-19
