price,stock_id,date
434.24,TPEx,2025-01-15
442.8,TPEx,2025-01-16
440.11,TPEx,2025-01-17
446.45,TPEx,2025-01-20
445.55,TPEx,2025-01-21
448.93,TPEx,2025-01-22
436.89,TPEx,2025-02-03
436.66,TPEx,2025-02-04
444.14,TPEx,2025-02-05
448.11,TPEx,2025-02-06
453.54,TPEx,2025-02-07
450.04,TPEx,2025-02-10
450.82,TPEx,2025-02-11
449.24,TPEx,2025-02-12
452.73,TPEx,2025-02-13
452.23,TPEx,2025-02-14
457.24,TPEx,2025-02-17
462.78,TPEx,2025-02-18
464.4,TPEx,2025-02-19
464.38,TPEx,2025-02-20
467.58,TPEx,2025-02-21
468.63,TPEx,2025-02-24
465.94,TPEx,2025-02-25
465.43,TPEx,2025-02-26
461.34,TPEx,2025-02-27
454.4,TPEx,2025-03-03
456.0,TPEx,2025-03-04
461.5,TPEx,2025-03-05
462.08,TPEx,2025-03-06
456.6,TPEx,2025-03-07
453.17,TPEx,2025-03-10
446.48,TPEx,2025-03-11
447.52,TPEx,2025-03-12
442.56,TPEx,2025-03-13
443.74,TPEx,2025-03-14
445.19,TPEx,2025-03-17
449.66,TPEx,2025-03-18
444.92,TPEx,2025-03-19
451.76,TPEx,2025-03-20
450.79,TPEx,2025-03-21
446.14,TPEx,2025-03-24
446.72,TPEx,2025-03-25
447.78,TPEx,2025-03-26
442.07,TPEx,2025-03-27
431.86,TPEx,2025-03-28
409.55,TPEx,2025-03-31
419.19,TPEx,2025-04-01
422.03,TPEx,2025-04-02
381.16,TPEx,2025-04-07
355.64,TPEx,2025-04-08
329.19,TPEx,2025-04-09
359.32,TPEx,2025-04-10
364.56,TPEx,2025-04-11
371.1,TPEx,2025-04-14
385.09,TPEx,2025-04-15
378.69,TPEx,2025-04-16
377.57,TPEx,2025-04-17
377.69,TPEx,2025-04-18
367.16,TPEx,2025-04-21
362.63,TPEx,2025-04-22
376.56,TPEx,2025-04-23
378.84,TPEx,2025-04-24
386.29,TPEx,2025-04-25
390.73,TPEx,2025-04-28
396.24,TPEx,2025-04-29
391.76,TPEx,2025-04-30
398.73,TPEx,2025-05-02
390.72,TPEx,2025-05-05
394.34,TPEx,2025-05-06
391.0,TPEx,2025-05-07
396.59,TPEx,2025-05-08
398.12,TPEx,2025-05-09
402.59,TPEx,2025-05-12
406.37,TPEx,2025-05-13
412.22,TPEx,2025-05-14
409.84,TPEx,2025-05-15
411.25,TPEx,2025-05-16
404.42,TPEx,2025-05-19
405.59,TPEx,2025-05-20
410.08,TPEx,2025-05-21
407.81,TPEx,2025-05-22
407.46,TPEx,2025-05-23
405.47,TPEx,2025-05-26
402.97,TPEx,2025-05-27
402.29,TPEx,2025-05-28
404.84,TPEx,2025-05-29
395.56,TPEx,2025-06-02
396.41,TPEx,2025-06-03
403.08,TPEx,2025-06-04
404.93,TPEx,2025-06-05
405.13,TPEx,2025-06-06
406.29,TPEx,2025-06-09
411.71,TPEx,2025-06-10
417.42,TPEx,2025-06-11
418.82,TPEx,2025-06-12
412.64,TPEx,2025-06-13
412.79,TPEx,2025-06-16
413.1,TPEx,2025-06-17
414.23,TPEx,2025-06-18
408.56,TPEx,2025-06-19
405.03,TPEx,2025-06-20
404.8,TPEx,2025-06-23
413.95,TPEx,2025-06-24
417.35,TPEx,2025-06-25
417.77,TPEx,2025-06-26
418.77,TPEx,2025-06-27
414.79,TPEx,2025-06-30
416.59,TPEx,2025-07-01
418.09,TPEx,2025-07-02
421.46,TPEx,2025-07-03
416.79,TPEx,2025-07-04
412.06,TPEx,2025-07-07
410.81,TPEx,2025-07-08
415.67,TPEx,2025-07-09
416.37,TPEx,2025-07-10
419.11,TPEx,2025-07-11
415.83,TPEx,2025-07-14
419.24,TPEx,2025-07-15
420.71,TPEx,2025-07-16
426.55,TPEx,2025-07-17
425.93,TPEx,2025-07-18
424.93,TPEx,2025-07-21
414.57,TPEx,2025-07-22
420.99,TPEx,2025-07-23
422.98,TPEx,2025-07-24
422.76,TPEx,2025-07-25
424.06,TPEx,2025-07-28
420.12,TPEx,2025-07-29
420.77,TPEx,2025-07-30
421.9,TPEx,2025-07-31
425.61,TPEx,2025-08-01
425.38,TPEx,2025-08-04
431.14,TPEx,2025-08-05
429.57,TPEx,2025-08-06
436.01,TPEx,2025-08-07
436.47,TPEx,2025-08-08
437.22,TPEx,2025-08-11
441.17,TPEx,2025-08-12
443.02,TPEx,2025-08-13
447.09,TPEx,2025-08-14
448.09,TPEx,2025-08-15
452.25,TPEx,2025-08-18
449.8,TPEx,2025-08-19
439.52,TPEx,2025-08-20
447.54,TPEx,2025-08-21
444.73,TPEx,2025-08-22
450.86,TPEx,2025-08-25
456.01,TPEx,2025-08-26
462.49,TPEx,2025-08-27
463.03,TPEx,2025-08-28
464.89,TPEx,2025-08-29
460.11,TPEx,2025-09-01
457.76,TPEx,2025-09-02
463.02,TPEx,2025-09-03
463.64,TPEx,2025-09-04
470.76,TPEx,2025-09-05
473.97,TPEx,2025-09-08
473.7,TPEx,2025-09-09
475.77,TPEx,2025-09-10
468.25,TPEx,2025-09-11
471.01,TPEx,2025-09-12
466.88,TPEx,2025-09-15
473.28,TPEx,2025-09-16
470.65,TPEx,2025-09-17
478.99,TPEx,2025-09-18
480.52,TPEx,2025-09-19
485.57,TPEx,2025-09-22
484.64,TPEx,2025-09-23
483.44,TPEx,2025-09-24
