stock_id,open,high,low,close,volume,ret_5d,ret_20d,rsi_14,breakout_20d,volatility_20d,volume_ratio_20d,inst_net_buy_5d_ratio,inst_consistency_20d,stock_name,industry
6641,20.0,20.05,19.9,20.0,21607,-0.00990099009900991,-0.05660377358490565,15.384615384615543,-0.11504424778761069,0.0077317768371522625,0.6892492806696312,0.023979743213529452,0.3,基士德-KY,其他
6645,24.25,24.35,23.8,23.9,48829,0.0063157894736840525,0.24155844155844153,69.99999999999999,-0.04400000000000004,0.026042357851873792,0.45419072308309083,0.06388336461163553,0.4,金萬林-創,創新版股票
6655,117.0,117.5,117.0,117.5,10165,0.012931034482758674,-0.02083333333333337,47.82608695652174,-0.02892561983471076,0.00932414793573896,1.480990435118341,-0.30941010291249077,0.15,科定,其他
6657,52.3,52.4,51.0,52.0,424225,-0.04936014625228524,-0.1333333333333333,23.595505617977523,-0.17329093799682038,0.01755467763966032,0.9613316809011058,0.09229077262342757,0.45,華安,生技醫療業
6658,60.8,61.6,59.9,60.0,282286,-0.024390243902439046,-0.10179640718562866,32.456140350877206,-0.1291727140783745,0.01626013501183054,0.8440683540897335,0.10102881465827321,0.55,聯策,電子工業
6666,51.5,52.2,51.4,52.2,6189,0.02352941176470602,-0.15397082658022687,28.461538461538538,-0.19692307692307687,0.027434834513721435,0.045590320620246406,-0.22726091389501601,0.5,羅麗芬-KY,化學生技醫療
6668,45.15,45.2,44.1,44.8,413966,-0.006651884700665245,-0.0386266094420602,32.94117647058823,-0.10756972111553798,0.022726023551018736,0.44075880197880757,0.08239943966379829,0.4,中揚光,光電業
6669,3150.0,3170.0,3115.0,3140.0,1207496,-0.018750000000000044,0.02782324058919805,61.2565445026178,-0.0696296296296296,0.03099065587042128,0.6153586328362518,-0.10728855097411706,0.3,緯穎,電子工業
6670,268.0,269.0,265.0,265.0,378078,0.005692599620493288,0.0037878787878788955,48.80952380952381,-0.02573529411764708,0.011799221237671449,1.0601517611011864,-0.22873729782678537,0.2,復盛應用,其他
6671,37.0,37.0,36.95,36.95,4000,0.0013550135501356753,0.0040760869565219515,47.77777777777782,-0.02506596306068587,0.012551528474476804,0.054706914543696465,-0.1653290529695024,0.2,三能-KY,其他
6672,107.0,107.0,102.0,102.5,2631307,-0.0888888888888889,0.05670103092783507,38.372093023255815,-0.15289256198347112,0.03901186912611133,0.32134686538770063,0.10230392192186695,0.55,騰輝電子-KY,電子工業
6674,21.0,21.15,20.7,21.1,71130,0.029268292682926855,-0.17416829745596862,44.59459459459462,-0.18846153846153846,0.0375890913217474,0.35103797532074227,0.007555245177915814,0.3,鋐寶科技,通信網路業
