stock_id,stock_name,industry_category,score_tech_ret_20d,score_tech_excess_ret_20d,score_tech_sma20_gap_pct,score_tech_sma60_gap_pct,score_tech_sma120_gap_pct,score_tech_rsi14,score_tech_vol_mult_20d,score_chip_chip_net5_sum,score_chip_chip_net20_sum,score_chip_foreign_ratio_5d_chg,score_chip_foreign_ratio_20d_chg,score_chip_margin_delta_5d_sum,score_chip_margin_delta_20d_sum,score_fund_revenue_yoy,score_fund_revenue_mom,score_fund_pe,score_fund_pb,score_risk_rolling_vol_20d_w,score_tech,score_chip,score_fund,score_risk,score_total
2239,英利-KY,汽車工業,84.0,84.0,64.0,60.0,60.0,46.0,66.0,18.0,24.0,90.0,84.0,70.0,68.0,,,82.0,98.0,43.99999999999999,66.28571428571429,59.0,90.0,43.99999999999999,68.9857142857143
2241,艾姆勒,汽車工業,36.0,36.0,52.0,48.0,50.0,22.0,28.000000000000004,16.0,20.0,76.0,82.0,78.0,56.99999999999999,,,82.0,35.0,48.0,38.857142857142854,54.833333333333336,58.5,48.0,50.457142857142856
2301,光寶科,電子工業,80.0,80.0,80.0,73.33333333333333,73.33333333333333,73.33333333333333,20.0,6.666666666666667,13.333333333333334,86.66666666666667,80.0,6.666666666666667,66.66666666666666,,,20.0,13.333333333333329,20.0,68.57142857142857,43.333333333333336,16.666666666666664,20.0,40.57142857142857
2317,鴻海,電子工業,13.333333333333334,13.333333333333334,13.333333333333334,46.666666666666664,46.666666666666664,60.0,33.33333333333333,93.33333333333333,93.33333333333333,40.0,33.33333333333333,53.333333333333336,6.666666666666667,,,33.33333333333334,46.666666666666664,93.33333333333333,32.38095238095237,53.333333333333336,40.0,93.33333333333333,47.047619047619044
2331,精英,電腦及週邊設備業,44.0,44.0,54.0,56.00000000000001,56.00000000000001,52.0,16.0,68.0,50.0,26.0,60.0,52.0,70.0,,,26.0,74.0,38.0,46.0,54.333333333333336,50.0,38.0,48.9
2344,華邦電,電子工業,100.0,100.0,100.0,100.0,100.0,100.0,40.0,100.0,100.0,20.0,6.666666666666667,100.0,100.0,,100.0,70.0,60.0,40.0,91.42857142857143,71.1111111111111,76.66666666666667,40.0,75.76190476190476
2356,英業達,電腦及週邊設備業,38.0,38.0,42.0,22.0,22.0,76.0,24.0,90.0,88.0,34.0,36.0,6.0,4.0,,,38.0,30.0,84.0,37.42857142857143,43.0,34.0,84.0,42.72857142857143
2375,凱美,電子零組件業,66.66666666666666,66.66666666666666,83.33333333333334,83.33333333333334,83.33333333333334,66.66666666666666,50.0,16.666666666666664,33.33333333333333,83.33333333333334,83.33333333333334,66.66666666666666,50.0,,,50.0,83.33333333333334,33.33333333333334,71.42857142857143,55.555555555555564,66.66666666666667,33.33333333333334,61.42857142857143
2431,聯昌,電子零組件業,50.0,50.0,50.0,66.66666666666666,66.66666666666666,16.666666666666664,66.66666666666666,33.33333333333333,16.666666666666664,100.0,100.0,50.0,33.33333333333333,,,83.33333333333334,50.0,16.666666666666657,52.38095238095237,55.55555555555555,66.66666666666667,16.666666666666657,54.047619047619044
2492,華新科,電子零組件業,83.33333333333334,83.33333333333334,100.0,50.0,50.0,50.0,100.0,50.0,50.0,66.66666666666666,66.66666666666666,100.0,100.0,,,33.33333333333334,66.66666666666667,50.0,73.80952380952382,72.22222222222221,50.00000000000001,50.0,63.80952380952381
2753,八方雲集,觀光餐旅,24.0,24.0,14.000000000000002,26.0,28.000000000000004,4.0,2.0,32.0,46.0,51.0,32.0,41.0,44.0,,,36.0,10.0,76.0,17.428571428571427,41.0,23.0,76.0,32.028571428571425
2812,台中銀,金融保險,30.0,30.0,30.0,16.0,16.0,62.0,72.0,74.0,82.0,56.00000000000001,57.99999999999999,56.00000000000001,42.0,,,53.0,58.0,90.0,36.57142857142857,61.333333333333336,55.5,90.0,55.021428571428565
2832,台產,金融保險,42.0,42.0,38.0,52.0,52.0,98.0,22.0,52.0,62.0,64.0,50.0,41.0,34.0,,,58.0,80.0,94.0,49.42857142857143,50.5,69.0,94.0,60.07857142857143
2855,統一證,金融保險,52.0,52.0,28.000000000000004,50.0,46.0,82.0,48.0,62.0,70.0,59.0,46.0,26.0,16.0,,,40.0,82.0,92.0,51.142857142857146,46.5,61.0,92.0,56.792857142857144
2885,元大金,金融保險,32.0,32.0,20.0,30.0,30.0,78.0,34.0,80.0,90.0,71.0,52.0,14.000000000000002,22.0,,,56.0,62.0,96.0,36.57142857142857,54.833333333333336,59.0,96.0,54.72142857142857
3006,晶豪科,半導體業,92.0,92.0,94.0,92.0,92.0,92.0,76.0,56.00000000000001,8.0,41.0,88.0,74.0,82.0,,,82.0,32.0,22.0,90.0,58.166666666666664,57.0,22.0,63.75
3026,禾伸堂,電子零組件業,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,16.666666666666664,83.33333333333334,83.33333333333334,66.66666666666666,66.66666666666666,50.0,50.0,83.33333333333334,66.66666666666666,,,66.66666666666667,33.33333333333334,83.33333333333334,45.238095238095234,63.88888888888888,50.00000000000001,83.33333333333334,56.07142857142857
3036,文曄,電子工業,33.33333333333333,33.33333333333333,26.666666666666668,13.333333333333334,13.333333333333334,20.0,13.333333333333334,60.0,66.66666666666666,33.33333333333333,46.666666666666664,46.666666666666664,26.666666666666668,,,40.0,40.0,80.0,21.904761904761905,46.666666666666664,40.0,80.0,40.57142857142857
3037,欣興,電子零組件業,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,33.33333333333333,100.0,16.666666666666664,100.0,100.0,33.33333333333333,16.666666666666664,16.666666666666664,16.666666666666664,,,16.666666666666657,16.666666666666657,66.66666666666667,30.952380952380953,47.22222222222222,16.666666666666657,66.66666666666667,35.11904761904761
3138,耀登,電子工業,46.666666666666664,46.666666666666664,53.333333333333336,40.0,40.0,53.333333333333336,100.0,40.0,33.33333333333333,53.333333333333336,60.0,66.66666666666666,46.666666666666664,,,0.0,26.66666666666667,60.0,54.285714285714285,50.0,13.333333333333336,60.0,41.285714285714285
3149,正達,電子工業,60.0,60.0,40.0,60.0,60.0,13.333333333333334,53.333333333333336,13.333333333333334,40.0,93.33333333333333,53.333333333333336,80.0,80.0,,,70.0,20.0,13.333333333333329,49.52380952380952,60.0,45.0,13.333333333333329,47.69047619047619
3231,緯創,電腦及週邊設備業,34.0,34.0,24.0,14.000000000000002,14.000000000000002,74.0,74.0,94.0,94.0,14.000000000000002,16.0,88.0,2.0,,,42.00000000000001,27.0,80.0,38.285714285714285,51.333333333333336,34.5,80.0,45.23571428571429
3380,明泰,電子工業,26.666666666666668,26.666666666666668,46.666666666666664,33.33333333333333,33.33333333333333,46.666666666666664,46.666666666666664,46.666666666666664,6.666666666666667,80.0,100.0,26.666666666666668,60.0,,,70.0,53.333333333333336,53.333333333333336,37.14285714285713,53.333333333333336,61.66666666666667,53.333333333333336,50.976190476190474
3419,譁裕,電子工業,40.0,40.0,33.33333333333333,26.666666666666668,26.666666666666668,66.66666666666666,93.33333333333333,33.33333333333333,26.666666666666668,66.66666666666666,86.66666666666667,20.0,20.0,,,70.0,73.33333333333333,66.66666666666667,46.666666666666664,42.22222222222222,71.66666666666666,66.66666666666667,54.83333333333333
3450,聯鈞,電子工業,66.66666666666666,66.66666666666666,86.66666666666667,66.66666666666666,66.66666666666666,86.66666666666667,66.66666666666666,73.33333333333333,73.33333333333333,6.666666666666667,13.333333333333334,86.66666666666667,73.33333333333333,,,6.666666666666671,6.666666666666671,46.666666666666664,72.38095238095238,54.444444444444436,6.666666666666671,46.666666666666664,44.7142857142857
3686,達能,電子工業,53.333333333333336,53.333333333333336,60.0,53.333333333333336,53.333333333333336,80.0,80.0,20.0,20.0,73.33333333333333,93.33333333333333,33.33333333333333,33.33333333333333,,,70.0,33.33333333333334,26.66666666666667,61.90476190476191,45.55555555555555,51.66666666666667,26.66666666666667,50.404761904761905
3711,日月光投控,半導體業,66.0,66.0,46.0,54.0,54.0,40.0,38.0,84.0,86.0,36.0,34.0,8.0,72.0,,,32.0,27.0,46.0,52.0,53.333333333333336,29.5,46.0,45.050000000000004
4536,拓凱,運動休閒,14.000000000000002,14.000000000000002,10.0,12.0,12.0,8.0,6.0,46.0,32.0,32.0,44.0,46.0,40.0,,,64.0,42.00000000000001,86.0,10.857142857142858,40.0,53.0,86.0,39.75714285714285
4722,國精化,化學生技醫療,68.0,68.0,84.0,98.0,98.0,28.000000000000004,88.0,8.0,6.0,98.0,100.0,94.0,84.0,,,8.0,6.0,0.0,76.0,65.0,7.0,0.0,44.4
4755,三福化,化學生技醫療,28.000000000000004,28.000000000000004,22.0,42.0,44.0,32.0,42.0,36.0,26.0,48.0,70.0,44.0,32.0,,,22.0,18.0,78.0,34.0,42.666666666666664,20.0,78.0,36.8
5469,瀚宇博,電子工業,73.33333333333333,73.33333333333333,73.33333333333333,80.0,80.0,33.33333333333333,60.0,80.0,60.0,13.333333333333334,40.0,73.33333333333333,86.66666666666667,,,26.66666666666667,66.66666666666667,0.0,67.61904761904762,58.88888888888889,46.66666666666667,0.0,51.95238095238095
6116,彩晶,電子工業,20.0,20.0,20.0,20.0,20.0,26.666666666666668,26.666666666666668,66.66666666666666,80.0,60.0,66.66666666666666,13.333333333333334,40.0,,,70.0,93.33333333333333,73.33333333333333,21.904761904761905,54.444444444444436,81.66666666666666,73.33333333333333,54.738095238095234
6515,穎崴,電子工業,93.33333333333333,93.33333333333333,66.66666666666666,93.33333333333333,93.33333333333333,40.0,6.666666666666667,26.666666666666668,53.333333333333336,100.0,20.0,40.0,53.333333333333336,,,13.333333333333329,0.0,6.666666666666671,69.52380952380952,48.888888888888886,6.666666666666664,6.666666666666671,38.19047619047618
6719,力智,半導體業,62.0,62.0,56.00000000000001,34.0,34.0,90.0,32.0,42.0,57.99999999999999,44.0,30.0,20.0,24.0,,,10.0,54.0,66.0,52.857142857142854,36.333333333333336,32.0,66.0,42.957142857142856
6768,志強-KY,運動休閒,8.0,8.0,12.0,2.0,2.0,10.0,44.0,60.0,12.0,20.0,94.0,48.0,52.0,,,60.0,56.0,70.0,12.285714285714286,47.666666666666664,58.0,70.0,42.385714285714286
6770,力積電,電子工業,86.66666666666667,86.66666666666667,93.33333333333333,86.66666666666667,86.66666666666667,93.33333333333333,73.33333333333333,86.66666666666667,86.66666666666667,26.666666666666668,26.666666666666668,93.33333333333333,93.33333333333333,,,70.0,80.0,33.33333333333334,86.66666666666667,68.88888888888889,75.0,33.33333333333334,72.49999999999999
8046,南電,電子零組件業,100.0,100.0,66.66666666666666,100.0,100.0,33.33333333333333,33.33333333333333,83.33333333333334,83.33333333333334,16.666666666666664,33.33333333333333,33.33333333333333,83.33333333333334,,,0.0,0.0,0.0,76.19047619047618,55.555555555555564,0.0,0.0,39.52380952380952
8105,凌巨,電子工業,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,86.66666666666667,53.333333333333336,46.666666666666664,46.666666666666664,73.33333333333333,60.0,13.333333333333334,,,70.0,86.66666666666667,86.66666666666667,18.095238095238095,48.888888888888886,78.33333333333334,86.66666666666667,52.26190476190476
9955,佳龍,綠能環保,40.0,40.0,16.0,24.0,24.0,2.0,10.0,50.0,56.00000000000001,24.0,28.000000000000004,34.0,62.0,,,82.0,20.0,68.0,22.285714285714285,42.333333333333336,51.0,68.0,41.48571428571428
